,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,32,60,Frd
1,1,35.385,127.173,31,60,Frd
2,2,34.272,131.303,31,60,Frd
3,3,34.154,131.756,31,60,Frd
4,4,34.651,129.866,32,60,Frd
5,5,34.099,131.969,31,60,Frd
6,6,34.373,130.917,30,60,Frd
7,7,34.599,130.062,30,60,Frd
8,8,34.064,132.104,30,60,Frd
9,9,34.131,131.845,30,60,Frd
10,10,34.188,131.625,30,60,Frd
11,11,34.104,131.949,30,60,Frd
12,12,34.564,130.193,30,60,Frd
13,13,34.195,131.598,30,60,Frd
14,14,34.289,131.237,30,60,Frd
15,15,34.165,131.714,30,60,Frd
16,16,34.217,131.514,30,60,Frd
17,17,34.199,131.583,30,60,Frd
18,18,34.44,130.662,30,60,Frd
19,19,34.305,131.176,30,60,Frd
20,20,34.688,129.728,30,60,Frd
21,21,34.498,130.442,30,60,Frd
22,22,34.437,130.673,30,60,Frd
23,23,34.24,131.425,30,60,Frd
24,24,34.308,131.165,30,60,Frd
25,25,34.303,131.184,30,60,Frd
26,26,38.171,117.891,29,60,Frd
27,27,52.846,85.153,29,60,Frd
28,28,71.48,62.955,29,60,Frd
29,29,95.656,47.044,33,60,Frd
30,30,87.154,51.633,32,60,Frd
31,31,97.753,46.034,31,60,Frd
32,32,56.518,79.621,30,60,Frd
33,33,35.918,125.285,31,60,Frd
34,34,34.681,129.754,32,60,Frd
35,35,34.568,130.178,30,60,Frd
36,36,53.155,84.658,29,60,Frd
37,37,79.136,56.864,29,60,Frd
38,38,94.648,47.545,30,60,Frd
39,39,88.763,50.697,29,60,Frd
40,40,98.532,45.670,29,60,Frd
41,41,57.757,77.913,28,60,Frd
42,42,35.433,127.000,29,60,Frd
43,43,34.632,129.938,28,60,Frd
44,44,34.669,129.799,27,60,Frd
45,45,34.31,131.157,28,60,Frd
46,46,63.691,70.654,28,60,Frd
47,47,77.442,58.108,28,60,Frd
48,48,84.459,53.280,26,60,Frd
49,49,89.931,50.038,19,60,Frd
50,50,90.665,49.633,19,60,Frd
51,51,93.957,47.894,19,60,Frd
52,52,69.539,64.712,18,60,Frd
53,53,35.703,126.040,19,60,Frd
54,54,34.433,130.689,22,60,Frd
55,55,33.99,132.392,22,60,Frd
56,56,34.002,132.345,22,60,Frd
57,57,34.321,131.115,23,60,Frd
58,58,34.106,131.942,25,60,Frd
59,59,34.044,132.182,25,60,Frd
60,60,33.97,132.470,25,60,Frd
61,61,46.615,96.535,24,60,Frd
62,62,107.387,41.905,34,60,Frd
63,63,73.883,60.907,32,60,Frd
64,64,90.592,49.673,28,60,Frd
65,65,65.041,69.187,32,60,Frd
66,66,35.243,127.685,34,60,Frd
67,67,34.246,131.402,30,60,Frd
68,68,34.33,131.081,29,60,Frd
69,69,33.918,132.673,29,60,Frd
70,70,33.95,132.548,28,60,Frd
71,71,34.243,131.414,26,60,Frd
72,72,33.635,133.789,25,60,Frd
73,73,33.884,132.806,24,60,Frd
74,74,33.927,132.638,24,60,Frd
75,75,34.075,132.062,24,60,Frd
76,76,42.509,105.860,24,60,Frd
77,77,81.97,54.898,24,60,Frd
78,78,84.79,53.072,24,60,Frd
79,79,91.481,49.191,15,60,Frd
80,80,89.366,50.355,15,60,Frd
81,81,92.55,48.622,15,60,Frd
82,82,74.759,60.193,15,60,Frd
83,83,35.615,126.351,16,60,Frd
84,84,34.391,130.848,17,60,Frd
85,85,34.123,131.876,18,60,Frd
86,86,34.581,130.129,20,60,Frd
87,87,34.466,130.563,22,60,Frd
88,88,34.381,130.886,22,60,Frd
89,89,34.046,132.174,23,60,Frd
90,90,33.855,132.920,23,60,Frd
91,91,33.973,132.458,23,60,Frd
92,92,33.859,132.904,23,60,Frd
93,93,34.085,132.023,23,60,Frd
94,94,34.137,131.822,23,60,Frd
95,95,34.257,131.360,24,60,Frd
96,96,34.426,130.715,24,60,Frd
97,97,34.221,131.498,25,60,Frd
98,98,34.39,130.852,25,60,Frd
99,99,34.258,131.356,25,60,Frd
100,100,34.215,131.521,25,60,Frd
101,101,34.292,131.226,25,60,Frd
102,102,34.542,130.276,26,60,Frd
103,103,34.356,130.981,26,60,Frd
104,104,34.33,131.081,27,60,Frd
105,105,34.405,130.795,27,60,Frd
106,106,34.285,131.253,27,60,Frd
107,107,34.378,130.898,27,60,Frd
108,108,34.159,131.737,27,60,Frd
109,109,34.373,130.917,27,60,Frd
110,110,34.411,130.772,27,60,Frd
111,111,34.437,130.673,27,60,Frd
112,112,34.322,131.111,27,60,Frd
113,113,34.246,131.402,27,60,Frd
114,114,34.419,130.742,27,60,Frd
115,115,34.434,130.685,27,60,Frd
116,116,34.331,131.077,27,60,Frd
117,117,34.514,130.382,27,60,Frd
118,118,34.614,130.005,28,60,Frd
119,119,34.514,130.382,28,60,Frd
120,120,34.494,130.457,28,60,Frd
121,121,34.596,130.073,28,60,Frd
122,122,34.806,129.288,29,60,Frd
123,123,34.514,130.382,29,60,Frd
124,124,35.059,128.355,30,60,Frd
125,125,34.562,130.201,30,60,Frd
126,126,34.569,130.174,30,60,Frd
127,127,34.498,130.442,30,60,Frd
128,128,34.645,129.889,30,60,Frd
129,129,34.492,130.465,30,60,Frd
130,130,34.354,130.989,30,60,Frd
131,131,34.519,130.363,30,60,Frd
132,132,34.536,130.299,30,60,Frd
133,133,34.627,129.956,30,60,Frd
134,134,43.566,103.292,30,60,Frd
135,135,47.527,94.683,30,60,Frd
136,136,78.669,57.202,32,60,Frd
137,137,85.979,52.338,32,60,Frd
138,138,96.612,46.578,29,60,Frd
139,139,59.157,76.069,28,60,Frd
140,140,35.473,126.857,26,60,Frd
141,141,71.538,62.904,26,60,Frd
142,142,74.734,60.214,26,60,Frd
143,143,87.485,51.437,24,60,Frd
144,144,86.585,51.972,22,60,Frd
145,145,91.676,49.086,22,60,Frd
146,146,98.434,45.716,22,60,Frd
147,147,66.246,67.929,22,60,Frd
148,148,35.64,126.263,24,60,Frd
149,149,34.725,129.590,26,60,Frd
150,150,69.332,64.905,25,60,Frd
151,151,74.895,60.084,26,60,Frd
152,152,102.85,43.753,32,60,Frd
153,153,82.774,54.365,30,60,Frd
154,154,100.74,44.669,31,60,Frd
155,155,56.141,80.155,31,60,Frd
156,156,38.395,117.203,30,60,Frd
157,157,70.842,63.522,30,60,Frd
158,158,76.548,58.787,30,60,Frd
159,159,88.678,50.745,20,60,Frd
160,160,95.207,47.265,21,60,Frd
161,161,70.81,63.550,21,60,Frd
162,162,35.658,126.199,22,60,Frd
163,163,34.211,131.537,22,60,Frd
164,164,34.114,131.911,22,60,Frd
165,165,34.086,132.019,23,60,Frd
166,166,33.744,133.357,23,60,Frd
167,167,34.306,131.172,26,60,Frd
168,168,33.96,132.509,25,60,Frd
169,169,34.156,131.748,24,60,Frd
170,170,34.109,131.930,24,60,Frd
171,171,33.988,132.400,25,60,Frd
172,172,33.983,132.419,25,60,Frd
173,173,33.999,132.357,25,60,Frd
174,174,33.981,132.427,25,60,Frd
175,175,33.911,132.700,25,60,Frd
176,176,34.2,131.579,25,60,Frd
177,177,34.094,131.988,25,60,Frd
178,178,34.17,131.694,25,60,Frd
179,179,34.232,131.456,25,60,Frd
180,180,34.073,132.069,25,60,Frd
181,181,34.186,131.633,24,60,Frd
182,182,34.182,131.648,24,60,Frd
183,183,33.986,132.407,24,60,Frd
184,184,34.001,132.349,24,60,Frd
185,185,34.125,131.868,24,60,Frd
186,186,34.148,131.779,24,60,Frd
187,187,34.09,132.004,24,60,Frd
188,188,34.439,130.666,24,60,Frd
189,189,34.504,130.420,25,60,Frd
190,190,34.155,131.752,25,60,Frd
191,191,34.275,131.291,25,60,Frd
192,192,34.16,131.733,25,60,Frd
193,193,34.429,130.704,24,60,Frd
194,194,34.199,131.583,23,60,Frd
195,195,34.307,131.169,23,60,Frd
196,196,34.139,131.814,23,60,Frd
197,197,34.137,131.822,20,60,Frd
198,198,34.177,131.667,20,60,Frd
199,199,34.506,130.412,20,60,Frd
200,200,34.288,131.241,18,60,Frd
201,201,34.103,131.953,17,60,Frd
202,202,34.029,132.240,15,60,Frd
203,203,34.222,131.494,14,60,Frd
204,204,34.424,130.723,13,60,Frd
205,205,34.095,131.984,12,60,Frd
206,206,34.132,131.841,11,60,Frd
207,207,34.184,131.641,10,60,Frd
208,208,36.093,124.678,9,60,Frd
209,209,55.008,81.806,9,60,Frd
210,210,74.547,60.365,9,60,Frd
211,211,96.309,46.725,24,60,Frd
212,212,90.093,49.948,21,60,Frd
213,213,87.897,51.196,20,60,Frd
214,214,92.846,48.467,20,60,Frd
215,215,68.808,65.399,20,60,Frd
216,216,35.424,127.033,18,60,Frd
217,217,34.304,131.180,19,60,Frd
218,218,33.989,132.396,19,60,Frd
219,219,34.22,131.502,19,60,Frd
220,220,33.766,133.270,18,60,Frd
221,221,33.444,134.553,17,60,Frd
222,222,33.876,132.837,16,60,Frd
223,223,33.876,132.837,16,60,Frd
224,224,33.732,133.404,16,60,Frd
225,225,33.808,133.105,16,60,Frd
226,226,33.702,133.523,15,60,Frd
227,227,33.713,133.480,15,60,Frd
228,228,34.133,131.837,15,60,Frd
229,229,34.056,132.135,15,60,Frd
230,230,33.886,132.798,15,60,Frd
231,231,33.946,132.563,14,60,Frd
232,232,33.714,133.476,13,60,Frd
233,233,33.816,133.073,13,60,Frd
234,234,33.973,132.458,13,60,Frd
235,235,33.921,132.661,13,60,Frd
236,236,33.963,132.497,13,60,Frd
237,237,33.861,132.896,13,60,Frd
238,238,33.964,132.493,13,60,Frd
239,239,34.211,131.537,13,60,Frd
240,240,34.217,131.514,13,60,Frd
