,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,18,88,Chv
1,1,35.333,127.360,16,88,Chv
2,2,33.953,132.536,16,88,Chv
3,3,34.145,131.791,17,88,Chv
4,4,34.741,129.530,20,88,Chv
5,5,34.536,130.299,21,88,Chv
6,6,33.973,132.458,21,88,Chv
7,7,33.891,132.779,21,88,Chv
8,8,33.92,132.665,21,88,Chv
9,9,34.318,131.127,22,88,Chv
10,10,34.467,130.560,23,88,Chv
11,11,34.333,131.069,23,88,Chv
12,12,34.199,131.583,23,88,Chv
13,13,34.341,131.039,23,88,Chv
14,14,34.365,130.947,24,88,Chv
15,15,34.396,130.829,24,88,Chv
16,16,34.408,130.784,24,88,Chv
17,17,34.407,130.787,24,88,Chv
18,18,34.476,130.526,25,88,Chv
19,19,34.517,130.371,24,88,Chv
20,20,34.152,131.764,24,88,Chv
21,21,34.117,131.899,24,88,Chv
22,22,34.104,131.949,24,88,Chv
23,23,34.107,131.938,24,88,Chv
24,24,34.118,131.895,24,88,Chv
25,25,34.209,131.544,24,88,Chv
26,26,37.207,120.945,23,88,Chv
27,27,52.43,85.829,23,88,Chv
28,28,71.349,63.070,23,88,Chv
29,29,80.012,56.242,18,88,Chv
30,30,91.793,49.023,12,88,Chv
31,31,91.336,49.269,12,88,Chv
32,32,76.603,58.744,12,88,Chv
33,33,35.296,127.493,10,88,Chv
34,34,34.439,130.666,11,88,Chv
35,35,34.025,132.256,11,88,Chv
36,36,45.156,99.655,11,88,Chv
37,37,78.427,57.378,11,88,Chv
38,38,90.786,49.567,11,88,Chv
39,39,91.885,48.974,11,88,Chv
40,40,91.965,48.932,11,88,Chv
41,41,75.232,59.815,11,88,Chv
42,42,35.479,126.836,9,88,Chv
43,43,33.905,132.724,10,88,Chv
44,44,33.853,132.928,10,88,Chv
45,45,34.209,131.544,12,88,Chv
46,46,56.953,79.013,12,88,Chv
47,47,75.962,59.240,12,88,Chv
48,48,85.705,52.506,10,88,Chv
49,49,108.832,41.348,31,88,Chv
50,50,90.696,49.616,31,88,Chv
51,51,99.368,45.286,31,88,Chv
52,52,56.442,79.728,30,88,Chv
53,53,35.34,127.334,29,88,Chv
54,54,34.824,129.221,32,88,Chv
55,55,34.014,132.298,30,88,Chv
56,56,34.276,131.287,30,88,Chv
57,57,34.039,132.201,30,88,Chv
58,58,33.98,132.431,29,88,Chv
59,59,34.059,132.124,29,88,Chv
60,60,33.994,132.376,29,88,Chv
61,61,47.978,93.793,29,88,Chv
62,62,71.262,63.147,16,88,Chv
63,63,89.451,50.307,10,88,Chv
64,64,91.419,49.224,10,88,Chv
65,65,80.123,56.164,10,88,Chv
66,66,36.254,124.124,19,88,Chv
67,67,34.466,130.563,21,88,Chv
68,68,34.315,131.138,21,88,Chv
69,69,34.049,132.162,23,88,Chv
70,70,34.161,131.729,24,88,Chv
71,71,34.555,130.227,25,88,Chv
72,72,34.067,132.093,26,88,Chv
73,73,34.042,132.190,26,88,Chv
74,74,34.046,132.174,25,88,Chv
75,75,34.192,131.610,25,88,Chv
76,76,42.923,104.839,25,88,Chv
77,77,81.599,55.148,25,88,Chv
