,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,30,34,Frd
1,1,35.417,127.058,29,34,Frd
2,2,34.234,131.448,29,34,Frd
3,3,34.276,131.287,29,34,Frd
4,4,34.677,129.769,30,34,Frd
5,5,34.43,130.700,32,34,Frd
6,6,34.339,131.046,31,34,Frd
7,7,34.567,130.182,31,34,Frd
8,8,34.217,131.514,31,34,Frd
9,9,34.091,132.000,31,34,Frd
10,10,34.145,131.791,31,34,Frd
11,11,34.327,131.092,31,34,Frd
12,12,34.176,131.671,31,34,Frd
13,13,34.413,130.765,31,34,Frd
14,14,34.309,131.161,31,34,Frd
15,15,34.316,131.134,31,34,Frd
16,16,34.332,131.073,31,34,Frd
17,17,34.419,130.742,31,34,Frd
18,18,34.455,130.605,31,34,Frd
19,19,34.317,131.130,31,34,Frd
20,20,34.322,131.111,31,34,Frd
21,21,34.477,130.522,31,34,Frd
22,22,34.512,130.389,31,34,Frd
23,23,34.518,130.367,31,34,Frd
24,24,34.506,130.412,31,34,Frd
25,25,34.339,131.046,31,34,Frd
26,26,37.982,118.477,30,34,Frd
27,27,52.762,85.289,30,34,Frd
28,28,71.087,63.303,30,34,Frd
29,29,77.763,57.868,20,34,Frd
30,30,107.562,41.836,35,34,Frd
31,31,97.162,46.314,34,34,Frd
32,32,54.515,82.546,34,34,Frd
33,33,35.834,125.579,35,34,Frd
34,34,34.595,130.077,33,34,Frd
35,35,34.681,129.754,33,34,Frd
36,36,54.22,82.995,32,34,Frd
37,37,78.998,56.963,31,34,Frd
38,38,84.957,52.968,20,34,Frd
39,39,100.583,44.739,33,34,Frd
40,40,82.735,54.391,18,34,Frd
41,41,71.234,63.172,35,34,Frd
42,42,35.063,128.340,35,34,Frd
43,43,34.619,129.986,34,34,Frd
44,44,34.617,129.994,34,34,Frd
45,45,34.5,130.435,34,34,Frd
46,46,66.064,68.116,34,34,Frd
47,47,77.536,58.038,34,34,Frd
48,48,85.765,52.469,32,34,Frd
49,49,88.317,50.953,24,34,Frd
50,50,91.029,49.435,24,34,Frd
51,51,95.677,47.033,24,34,Frd
52,52,65.118,69.105,25,34,Frd
53,53,35.572,126.504,25,34,Frd
54,54,34.381,130.886,24,34,Frd
55,55,34.085,132.023,25,34,Frd
56,56,34.006,132.330,26,34,Frd
57,57,34.213,131.529,27,34,Frd
58,58,34.132,131.841,27,34,Frd
59,59,34.287,131.245,27,34,Frd
60,60,34.08,132.042,27,34,Frd
61,61,47.184,95.371,27,34,Frd
62,62,74.051,60.769,18,34,Frd
63,63,107.284,41.945,33,34,Frd
64,64,92.718,48.534,34,34,Frd
65,65,61.104,73.645,30,34,Frd
66,66,35.406,127.097,29,34,Frd
67,67,34.345,131.023,28,34,Frd
68,68,34.115,131.907,26,34,Frd
69,69,34.031,132.232,26,34,Frd
70,70,33.942,132.579,27,34,Frd
71,71,34.632,129.938,27,34,Frd
72,72,33.881,132.818,27,34,Frd
73,73,33.949,132.552,27,34,Frd
74,74,34.324,131.104,27,34,Frd
75,75,34.106,131.942,27,34,Frd
76,76,43.24,104.070,27,34,Frd
77,77,81.618,55.135,27,34,Frd
78,78,84.086,53.517,25,34,Frd
79,79,91.445,49.210,16,34,Frd
80,80,89.381,50.346,16,34,Frd
81,81,92.733,48.526,16,34,Frd
82,82,74.166,60.675,16,34,Frd
83,83,35.616,126.348,18,34,Frd
84,84,34.584,130.118,19,34,Frd
85,85,34.729,129.575,24,34,Frd
86,86,34.428,130.708,24,34,Frd
87,87,34.383,130.879,26,34,Frd
88,88,34.381,130.886,28,34,Frd
89,89,34.395,130.833,29,34,Frd
90,90,34.325,131.100,30,34,Frd
91,91,34.289,131.237,30,34,Frd
92,92,34.286,131.249,30,34,Frd
93,93,34.191,131.614,30,34,Frd
94,94,34.15,131.772,30,34,Frd
95,95,34.051,132.155,30,34,Frd
96,96,34.318,131.127,30,34,Frd
97,97,34.055,132.139,30,34,Frd
98,98,34.189,131.621,30,34,Frd
99,99,34.337,131.054,30,34,Frd
100,100,35.041,128.421,32,34,Frd
101,101,34.55,130.246,32,34,Frd
102,102,34.332,131.073,32,34,Frd
103,103,34.391,130.848,32,34,Frd
104,104,34.326,131.096,32,34,Frd
105,105,34.307,131.169,32,34,Frd
106,106,34.311,131.153,32,34,Frd
