,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,35,10,Chv
1,1,35.287,127.526,33,10,Chv
2,2,34.102,131.957,32,10,Chv
3,3,34.219,131.506,32,10,Chv
4,4,34.495,130.454,31,10,Chv
5,5,34.146,131.787,30,10,Chv
6,6,34.635,129.926,32,10,Chv
7,7,34.671,129.791,32,10,Chv
8,8,34.376,130.905,33,10,Chv
9,9,34.186,131.633,33,10,Chv
10,10,34.342,131.035,33,10,Chv
11,11,34.204,131.564,33,10,Chv
12,12,34.327,131.092,33,10,Chv
13,13,34.34,131.043,33,10,Chv
14,14,34.408,130.784,33,10,Chv
15,15,34.621,129.979,33,10,Chv
16,16,34.579,130.137,34,10,Chv
17,17,34.511,130.393,34,10,Chv
18,18,34.354,130.989,34,10,Chv
19,19,34.472,130.541,34,10,Chv
20,20,34.369,130.932,34,10,Chv
21,21,34.649,129.874,34,10,Chv
22,22,34.602,130.050,34,10,Chv
23,23,34.491,130.469,34,10,Chv
24,24,34.369,130.932,34,10,Chv
25,25,34.361,130.962,34,10,Chv
26,26,39.71,113.322,33,10,Chv
27,27,52.393,85.889,33,10,Chv
28,28,70.332,63.982,33,10,Chv
29,29,97.671,46.073,35,10,Chv
30,30,84.604,53.189,34,10,Chv
31,31,97.174,46.309,33,10,Chv
32,32,55.425,81.191,33,10,Chv
33,33,35.534,126.639,30,10,Chv
34,34,34.774,129.407,31,10,Chv
35,35,34.398,130.822,28,10,Chv
36,36,52.17,86.256,27,10,Chv
37,37,78.937,57.007,27,10,Chv
38,38,94.315,47.712,28,10,Chv
39,39,89.238,50.427,27,10,Chv
40,40,97.45,46.178,27,10,Chv
41,41,59.864,75.170,26,10,Chv
42,42,35.137,128.070,23,10,Chv
43,43,34.752,129.489,23,10,Chv
44,44,34.632,129.938,25,10,Chv
45,45,34.247,131.398,25,10,Chv
46,46,62.452,72.055,25,10,Chv
47,47,76.631,58.723,25,10,Chv
48,48,85.505,52.629,23,10,Chv
49,49,90.296,49.836,17,10,Chv
50,50,90.539,49.702,17,10,Chv
51,51,93.326,48.218,17,10,Chv
52,52,71.485,62.950,19,10,Chv
53,53,35.333,127.360,16,10,Chv
54,54,34.334,131.065,18,10,Chv
55,55,34.191,131.614,20,10,Chv
56,56,34.017,132.287,21,10,Chv
57,57,34.105,131.945,22,10,Chv
58,58,34.074,132.066,22,10,Chv
59,59,34.213,131.529,24,10,Chv
60,60,33.979,132.435,24,10,Chv
61,61,46.377,97.031,23,10,Chv
62,62,87.33,51.529,28,10,Chv
63,63,88.99,50.567,25,10,Chv
64,64,93.798,47.975,26,10,Chv
65,65,66.013,68.168,21,10,Chv
66,66,35.573,126.500,22,10,Chv
67,67,34.645,129.889,23,10,Chv
68,68,34.223,131.491,24,10,Chv
69,69,33.974,132.454,25,10,Chv
70,70,34.233,131.452,26,10,Chv
71,71,34.75,129.496,29,10,Chv
72,72,34.125,131.868,29,10,Chv
73,73,34.044,132.182,29,10,Chv
74,74,34.215,131.521,30,10,Chv
75,75,34.836,129.177,32,10,Chv
76,76,128.42,35.041,34,10,Chv
77,77,81.492,55.220,34,10,Chv
78,78,114.783,39.204,34,10,Chv
79,79,79.041,56.932,34,10,Chv
80,80,99.903,45.044,34,10,Chv
81,81,53.911,83.471,34,10,Chv
82,82,35.297,127.490,34,10,Chv
83,83,34.68,129.758,34,10,Chv
