,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,8,23,Tyt
1,1,16.452,116.630,6,23,Tyt
2,2,15.938,120.392,6,23,Tyt
3,3,16.058,119.492,6,23,Tyt
4,4,15.899,120.687,5,23,Tyt
5,5,15.686,122.326,5,23,Tyt
6,6,15.692,122.279,5,23,Tyt
7,7,15.783,121.574,5,23,Tyt
8,8,15.975,120.113,5,23,Tyt
9,9,15.968,120.165,5,23,Tyt
10,10,16.001,119.918,5,23,Tyt
11,11,16.137,118.907,5,23,Tyt
12,12,16.035,119.663,5,23,Tyt
13,13,16.007,119.873,5,23,Tyt
14,14,16.117,119.054,5,23,Tyt
15,15,16.136,118.914,5,23,Tyt
16,16,16.11,119.106,5,23,Tyt
17,17,16.131,118.951,5,23,Tyt
18,18,16.37,117.214,5,23,Tyt
19,19,16.215,118.335,5,23,Tyt
20,20,16.4,117.000,5,23,Tyt
21,21,16.398,117.014,5,23,Tyt
22,22,16.173,118.642,5,23,Tyt
23,23,16.268,117.949,5,23,Tyt
24,24,16.333,117.480,5,23,Tyt
25,25,16.599,115.597,4,23,Tyt
26,26,16.474,116.474,4,23,Tyt
27,27,17.095,112.243,4,23,Tyt
28,28,17.083,112.322,4,23,Tyt
29,29,17.417,110.168,4,23,Tyt
30,30,17.878,107.327,5,23,Tyt
31,31,18.712,102.544,9,23,Tyt
32,32,17.845,107.526,9,23,Tyt
33,33,17.98,106.719,9,23,Tyt
34,34,18.98,101.096,12,23,Tyt
35,35,18.818,101.966,13,23,Tyt
36,36,38.945,49.269,29,23,Tyt
37,37,24.803,77.362,31,23,Tyt
38,38,17.638,108.788,31,23,Tyt
39,39,17.297,110.933,31,23,Tyt
40,40,18.47,103.887,30,23,Tyt
41,41,18.1,106.011,29,23,Tyt
42,42,18.243,105.180,28,23,Tyt
43,43,18.133,105.818,27,23,Tyt
44,44,18.219,105.319,27,23,Tyt
45,45,18.295,104.881,26,23,Tyt
46,46,17.975,106.748,25,23,Tyt
47,47,17.634,108.813,25,23,Tyt
48,48,18.015,106.511,20,23,Tyt
49,49,18.106,105.976,20,23,Tyt
50,50,18.346,104.590,19,23,Tyt
51,51,18.052,106.293,18,23,Tyt
52,52,17.793,107.840,18,23,Tyt
53,53,17.565,109.240,17,23,Tyt
54,54,17.466,109.859,17,23,Tyt
55,55,17.427,110.105,14,23,Tyt
56,56,17.783,107.901,13,23,Tyt
57,57,17.806,107.761,12,23,Tyt
58,58,17.702,108.395,11,23,Tyt
59,59,17.664,108.628,10,23,Tyt
60,60,17.298,110.926,9,23,Tyt
61,61,17.791,107.852,9,23,Tyt
62,62,17.395,110.308,9,23,Tyt
63,63,17.199,111.565,9,23,Tyt
64,64,17.614,108.936,9,23,Tyt
65,65,17.614,108.936,8,23,Tyt
66,66,17.565,109.240,8,23,Tyt
67,67,17.607,108.979,8,23,Tyt
68,68,17.711,108.339,8,23,Tyt
69,69,17.666,108.615,7,23,Tyt
70,70,17.389,110.346,7,23,Tyt
71,71,17.405,110.244,7,23,Tyt
72,72,17.722,108.272,8,23,Tyt
73,73,17.151,111.877,8,23,Tyt
74,74,17.085,112.309,8,23,Tyt
75,75,17.132,112.001,7,23,Tyt
76,76,17.072,112.395,7,23,Tyt
77,77,17.365,110.498,7,23,Tyt
78,78,17.196,111.584,7,23,Tyt
79,79,17.966,106.802,7,23,Tyt
80,80,29.954,64.058,7,23,Tyt
81,81,36.985,51.880,7,23,Tyt
82,82,54.43,35.253,7,23,Tyt
83,83,50.995,37.627,7,23,Tyt
84,84,57.999,33.083,7,23,Tyt
85,85,47.556,40.348,7,23,Tyt
86,86,47.426,40.459,7,23,Tyt
87,87,57.561,33.335,7,23,Tyt
88,88,41.164,46.614,5,23,Tyt
89,89,51.63,37.164,5,23,Tyt
90,90,54.248,35.371,5,23,Tyt
91,91,53.461,35.892,5,23,Tyt
92,92,53.765,35.689,5,23,Tyt
93,93,52.006,36.896,5,23,Tyt
94,94,58.246,32.943,6,23,Tyt
95,95,17.215,111.461,6,23,Tyt
96,96,16.521,116.143,6,23,Tyt
97,97,16.646,115.271,6,23,Tyt
98,98,16.452,116.630,6,23,Tyt
99,99,16.663,115.153,6,23,Tyt
100,100,18.569,103.334,6,23,Tyt
101,101,35.031,54.774,6,23,Tyt
102,102,54.324,35.321,6,23,Tyt
103,103,53.975,35.550,6,23,Tyt
104,104,53.108,36.130,6,23,Tyt
105,105,54.931,34.931,6,23,Tyt
106,106,54.576,35.158,6,23,Tyt
107,107,57.515,33.362,5,23,Tyt
108,108,17.641,108.769,6,23,Tyt
109,109,16.751,114.548,5,23,Tyt
110,110,16.862,113.794,5,23,Tyt
111,111,16.668,115.119,5,23,Tyt
112,112,16.669,115.112,5,23,Tyt
113,113,16.746,114.583,6,23,Tyt
114,114,16.689,114.974,5,23,Tyt
115,115,16.732,114.678,5,23,Tyt
116,116,16.621,115.444,5,23,Tyt
117,117,16.573,115.779,5,23,Tyt
118,118,16.639,115.319,5,23,Tyt
119,119,16.546,115.968,5,23,Tyt
120,120,16.556,115.898,5,23,Tyt
121,121,16.614,115.493,5,23,Tyt
122,122,16.676,115.064,5,23,Tyt
123,123,16.916,113.431,5,23,Tyt
124,124,16.991,112.930,5,23,Tyt
125,125,16.961,113.130,4,23,Tyt
126,126,26.401,72.679,4,23,Tyt
