,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,39,66,Frd
1,1,16.555,115.905,39,66,Frd
2,2,16.117,119.054,39,66,Frd
3,3,16.553,115.919,37,66,Frd
4,4,16.286,117.819,36,66,Frd
5,5,16.768,114.432,35,66,Frd
6,6,16.679,115.043,34,66,Frd
7,7,16.718,114.774,34,66,Frd
8,8,16.829,114.017,33,66,Frd
9,9,16.539,116.017,33,66,Frd
10,10,17.025,112.705,34,66,Frd
11,11,16.631,115.375,34,66,Frd
12,12,16.868,113.754,35,66,Frd
13,13,16.653,115.222,35,66,Frd
14,14,16.585,115.695,35,66,Frd
15,15,16.573,115.779,35,66,Frd
16,16,17.126,112.040,37,66,Frd
17,17,17.034,112.645,38,66,Frd
18,18,17.338,110.670,39,66,Frd
19,19,17.271,111.100,39,66,Frd
20,20,17.202,111.545,39,66,Frd
21,21,17.099,112.217,39,66,Frd
22,22,17.526,109.483,39,66,Frd
23,23,17.8,107.798,39,66,Frd
24,24,17.924,107.052,39,66,Frd
25,25,18.062,106.234,39,66,Frd
26,26,18.414,104.203,38,66,Frd
27,27,18.401,104.277,38,66,Frd
28,28,19.055,100.698,38,66,Frd
29,29,18.621,103.045,36,66,Frd
30,30,19.012,100.926,36,66,Frd
31,31,18.91,101.470,36,66,Frd
32,32,18.739,102.396,36,66,Frd
33,33,19.364,99.091,36,66,Frd
34,34,18.953,101.240,35,66,Frd
35,35,18.874,101.664,34,66,Frd
36,36,19.549,98.153,34,66,Frd
37,37,20.206,94.962,34,66,Frd
38,38,20.078,95.567,36,66,Frd
39,39,19.933,96.262,36,66,Frd
40,40,19.572,98.038,36,66,Frd
41,41,19.045,100.751,36,66,Frd
42,42,19.55,98.148,36,66,Frd
43,43,19.836,96.733,38,66,Frd
44,44,19.937,96.243,38,66,Frd
45,45,20.075,95.582,38,66,Frd
46,46,20.66,92.875,38,66,Frd
47,47,21.619,88.755,38,66,Frd
48,48,32.691,58.695,39,66,Frd
49,49,46.355,41.394,39,66,Frd
50,50,18.489,103.781,39,66,Frd
51,51,18.459,103.949,39,66,Frd
52,52,17.4,110.276,39,66,Frd
53,53,17.254,111.209,39,66,Frd
54,54,17.188,111.636,39,66,Frd
55,55,17.071,112.401,39,66,Frd
56,56,17.245,111.267,39,66,Frd
57,57,17.62,108.899,39,66,Frd
58,58,17.672,108.579,39,66,Frd
59,59,17.433,110.067,39,66,Frd
60,60,18.35,104.567,39,66,Frd
61,61,18.328,104.692,39,66,Frd
62,62,17.624,108.874,39,66,Frd
63,63,17.621,108.893,39,66,Frd
64,64,18.226,105.278,39,66,Frd
65,65,17.703,108.388,39,66,Frd
66,66,17.823,107.659,39,66,Frd
67,67,17.528,109.471,39,66,Frd
68,68,17.593,109.066,39,66,Frd
69,69,17.63,108.837,39,66,Frd
70,70,17.543,109.377,39,66,Frd
71,71,17.523,109.502,39,66,Frd
72,72,17.348,110.606,39,66,Frd
73,73,18.087,106.087,39,66,Frd
74,74,17.413,110.194,39,66,Frd
75,75,20.273,94.648,39,66,Frd
76,76,38.202,50.228,38,66,Frd
77,77,52.844,36.311,38,66,Frd
78,78,54.141,35.441,38,66,Frd
79,79,53.847,35.634,38,66,Frd
80,80,51.015,37.612,38,66,Frd
81,81,53.596,35.801,38,66,Frd
82,82,50.662,37.875,38,66,Frd
83,83,45.841,41.858,38,66,Frd
84,84,86.406,22.207,38,66,Frd
85,85,54.069,35.488,38,66,Frd
86,86,51.848,37.008,38,66,Frd
87,87,55.504,34.570,38,66,Frd
88,88,71.193,26.952,38,66,Frd
89,89,23.341,82.207,38,66,Frd
90,90,17.933,106.998,38,66,Frd
91,91,17.542,109.383,38,66,Frd
92,92,17.457,109.916,38,66,Frd
93,93,17.323,110.766,38,66,Frd
94,94,17.312,110.836,38,66,Frd
95,95,25.416,75.496,38,66,Frd
96,96,41.106,46.679,38,66,Frd
97,97,51.311,37.395,38,66,Frd
98,98,54.0,35.533,38,66,Frd
99,99,51.398,37.332,38,66,Frd
100,100,55.288,34.706,38,66,Frd
101,101,70.446,27.238,38,66,Frd
102,102,29.174,65.771,38,66,Frd
103,103,17.896,107.219,38,66,Frd
104,104,17.979,106.725,38,66,Frd
105,105,17.577,109.165,38,66,Frd
106,106,17.655,108.683,38,66,Frd
107,107,17.602,109.010,38,66,Frd
108,108,17.641,108.769,38,66,Frd
109,109,17.33,110.721,38,66,Frd
110,110,17.208,111.506,38,66,Frd
111,111,17.337,110.677,38,66,Frd
112,112,16.929,113.344,38,66,Frd
113,113,17.133,111.994,38,66,Frd
114,114,17.475,109.803,38,66,Frd
115,115,17.135,111.981,38,66,Frd
116,116,16.876,113.700,38,66,Frd
117,117,16.85,113.875,38,66,Frd
118,118,16.966,113.097,38,66,Frd
119,119,17.203,111.539,38,66,Frd
120,120,20.404,94.040,38,66,Frd
121,121,32.286,59.431,38,66,Frd
122,122,40.226,47.700,38,66,Frd
123,123,53.404,35.930,38,66,Frd
124,124,48.945,39.203,38,66,Frd
125,125,42.723,44.913,38,66,Frd
126,126,42.781,44.852,38,66,Frd
127,127,52.861,36.299,38,66,Frd
128,128,86.229,22.252,38,66,Frd
129,129,53.732,35.711,38,66,Frd
130,130,52.341,36.660,38,66,Frd
131,131,57.477,33.384,38,66,Frd
132,132,33.075,58.014,38,66,Frd
133,133,17.483,109.752,38,66,Frd
134,134,17.081,112.335,38,66,Frd
135,135,17.131,112.007,38,66,Frd
136,136,17.196,111.584,38,66,Frd
137,137,17.185,111.656,38,66,Frd
138,138,17.149,111.890,38,66,Frd
139,139,17.211,111.487,38,66,Frd
140,140,17.429,110.092,38,66,Frd
141,141,19.503,98.385,38,66,Frd
142,142,57.707,33.251,38,66,Frd
143,143,49.7,38.608,38,66,Frd
144,144,54.445,35.243,38,66,Frd
145,145,49.824,38.512,38,66,Frd
146,146,52.245,36.727,38,66,Frd
147,147,50.078,38.316,38,66,Frd
148,148,51.07,37.572,38,66,Frd
149,149,74.728,25.677,38,66,Frd
150,150,26.984,71.109,38,66,Frd
151,151,18.849,101.799,38,66,Frd
152,152,17.948,106.909,38,66,Frd
153,153,17.661,108.646,38,66,Frd
154,154,17.843,107.538,38,66,Frd
155,155,17.645,108.745,38,66,Frd
156,156,17.539,109.402,38,66,Frd
157,157,17.726,108.248,38,66,Frd
158,158,17.831,107.610,38,66,Frd
159,159,18.13,105.836,38,66,Frd
160,160,17.672,108.579,38,66,Frd
161,161,17.5,109.646,38,66,Frd
162,162,17.581,109.141,38,66,Frd
163,163,17.438,110.036,38,66,Frd
164,164,17.484,109.746,38,66,Frd
165,165,17.591,109.079,38,66,Frd
166,166,17.654,108.689,38,66,Frd
167,167,17.561,109.265,38,66,Frd
168,168,17.513,109.564,38,66,Frd
169,169,17.666,108.615,38,66,Frd
170,170,17.363,110.511,38,66,Frd
171,171,17.307,110.868,38,66,Frd
172,172,17.568,109.221,38,66,Frd
173,173,17.614,108.936,38,66,Frd
174,174,17.506,109.608,38,66,Frd
175,175,17.608,108.973,38,66,Frd
176,176,17.256,111.196,38,66,Frd
177,177,17.35,110.594,38,66,Frd
178,178,17.346,110.619,38,66,Frd
179,179,17.467,109.853,38,66,Frd
180,180,17.422,110.137,38,66,Frd
181,181,17.32,110.785,38,66,Frd
182,182,17.496,109.671,38,66,Frd
183,183,17.805,107.767,38,66,Frd
184,184,17.711,108.339,38,66,Frd
185,185,17.864,107.412,38,66,Frd
186,186,17.668,108.603,38,66,Frd
187,187,17.762,108.028,38,66,Frd
188,188,17.633,108.819,38,66,Frd
189,189,17.423,110.130,38,66,Frd
190,190,17.187,111.643,38,66,Frd
191,191,17.587,109.103,38,66,Frd
192,192,17.199,111.565,38,66,Frd
193,193,17.228,111.377,38,66,Frd
194,194,17.308,110.862,38,66,Frd
195,195,17.427,110.105,38,66,Frd
196,196,17.39,110.339,38,66,Frd
197,197,17.479,109.777,38,66,Frd
198,198,17.472,109.821,38,66,Frd
199,199,17.388,110.352,38,66,Frd
200,200,17.375,110.435,38,66,Frd
201,201,17.628,108.850,38,66,Frd
202,202,17.779,107.925,38,66,Frd
203,203,17.436,110.048,38,66,Frd
204,204,17.3,110.913,38,66,Frd
205,205,17.677,108.548,38,66,Frd
206,206,17.848,107.508,38,66,Frd
207,207,17.634,108.813,38,66,Frd
208,208,18.424,104.147,38,66,Frd
209,209,18.519,103.613,38,66,Frd
210,210,18.669,102.780,38,66,Frd
211,211,18.548,103.451,38,66,Frd
212,212,28.119,68.239,38,66,Frd
213,213,38.162,50.280,38,66,Frd
214,214,17.437,110.042,38,66,Frd
215,215,17.24,111.299,38,66,Frd
216,216,17.187,111.643,38,66,Frd
217,217,17.436,110.048,38,66,Frd
218,218,17.353,110.575,38,66,Frd
219,219,17.178,111.701,38,66,Frd
220,220,17.333,110.702,38,66,Frd
221,221,18.732,102.434,38,66,Frd
222,222,17.772,107.968,38,66,Frd
223,223,18.173,105.585,38,66,Frd
224,224,17.812,107.725,38,66,Frd
225,225,17.35,110.594,38,66,Frd
226,226,17.881,107.309,38,66,Frd
227,227,17.788,107.870,38,66,Frd
228,228,17.665,108.622,38,66,Frd
229,229,17.637,108.794,38,66,Frd
230,230,17.742,108.150,38,66,Frd
231,231,17.995,106.630,38,66,Frd
232,232,25.793,74.392,38,66,Frd
233,233,38.002,50.492,38,66,Frd
234,234,51.638,37.159,38,66,Frd
235,235,47.97,40.000,38,66,Frd
236,236,50.739,37.817,38,66,Frd
237,237,53.623,35.783,38,66,Frd
238,238,53.441,35.905,38,66,Frd
239,239,88.586,21.660,38,66,Frd
240,240,26.185,73.279,38,66,Frd
241,241,19.362,99.101,38,66,Frd
242,242,18.163,105.643,38,66,Frd
243,243,18.044,106.340,38,66,Frd
244,244,19.472,98.541,38,66,Frd
245,245,44.743,42.885,38,66,Frd
246,246,55.016,34.877,38,66,Frd
247,247,53.76,35.692,38,66,Frd
248,248,53.007,36.199,38,66,Frd
249,249,54.026,35.516,38,66,Frd
250,250,54.347,35.306,38,66,Frd
251,251,55.318,34.687,38,66,Frd
252,252,45.764,41.928,38,66,Frd
253,253,48.644,39.446,38,66,Frd
254,254,46.978,40.845,38,66,Frd
255,255,74.647,25.705,38,66,Frd
256,256,46.615,41.163,38,66,Frd
257,257,60.868,31.524,38,66,Frd
258,258,59.648,32.169,38,66,Frd
259,259,25.87,74.171,38,66,Frd
260,260,18.374,104.430,38,66,Frd
261,261,17.601,109.017,38,66,Frd
