,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,16,9,Chv
1,1,16.531,116.073,15,9,Chv
2,2,16.409,116.936,16,9,Chv
3,3,16.158,118.752,16,9,Chv
4,4,16.399,117.007,16,9,Chv
5,5,16.388,117.086,15,9,Chv
6,6,16.389,117.079,15,9,Chv
7,7,16.301,117.711,15,9,Chv
8,8,16.301,117.711,15,9,Chv
9,9,16.551,115.933,15,9,Chv
10,10,16.395,117.036,15,9,Chv
11,11,16.316,117.602,15,9,Chv
12,12,16.249,118.087,15,9,Chv
13,13,16.206,118.401,15,9,Chv
14,14,16.231,118.218,15,9,Chv
15,15,16.311,117.638,15,9,Chv
16,16,16.234,118.196,15,9,Chv
17,17,16.314,117.617,15,9,Chv
18,18,16.231,118.218,15,9,Chv
19,19,16.208,118.386,15,9,Chv
20,20,16.318,117.588,15,9,Chv
21,21,16.433,116.765,15,9,Chv
22,22,16.293,117.768,15,9,Chv
23,23,16.277,117.884,15,9,Chv
24,24,16.224,118.269,15,9,Chv
25,25,16.283,117.841,15,9,Chv
26,26,16.382,117.129,15,9,Chv
27,27,16.47,116.503,15,9,Chv
28,28,17.295,110.945,14,9,Chv
29,29,16.391,117.064,14,9,Chv
30,30,16.628,115.396,14,9,Chv
31,31,17.294,110.952,13,9,Chv
32,32,17.596,109.048,13,9,Chv
33,33,17.608,108.973,13,9,Chv
34,34,17.991,106.653,13,9,Chv
35,35,18.36,104.510,12,9,Chv
36,36,17.989,106.665,11,9,Chv
37,37,18.5,103.719,11,9,Chv
38,38,18.825,101.928,12,9,Chv
39,39,19.309,99.373,12,9,Chv
40,40,19.647,97.664,13,9,Chv
41,41,18.682,102.708,12,9,Chv
42,42,18.73,102.445,12,9,Chv
43,43,19.184,100.021,12,9,Chv
44,44,19.322,99.306,13,9,Chv
45,45,19.716,97.322,12,9,Chv
46,46,19.94,96.229,11,9,Chv
47,47,19.817,96.826,12,9,Chv
48,48,46.948,40.871,33,9,Chv
49,49,17.732,108.211,31,9,Chv
50,50,17.115,112.112,29,9,Chv
51,51,17.341,110.651,28,9,Chv
52,52,18.142,105.766,28,9,Chv
53,53,17.717,108.303,28,9,Chv
54,54,17.671,108.585,28,9,Chv
55,55,17.905,107.166,27,9,Chv
56,56,17.751,108.095,27,9,Chv
57,57,17.793,107.840,24,9,Chv
58,58,18.068,106.199,24,9,Chv
59,59,17.517,109.539,23,9,Chv
60,60,17.592,109.072,22,9,Chv
61,61,17.602,109.010,22,9,Chv
62,62,17.628,108.850,22,9,Chv
63,63,17.541,109.389,22,9,Chv
64,64,17.533,109.439,22,9,Chv
65,65,17.623,108.880,21,9,Chv
66,66,17.607,108.979,21,9,Chv
67,67,17.247,111.254,21,9,Chv
68,68,17.405,110.244,21,9,Chv
69,69,17.464,109.872,20,9,Chv
70,70,17.421,110.143,20,9,Chv
71,71,17.337,110.677,20,9,Chv
72,72,17.077,112.362,20,9,Chv
73,73,17.153,111.864,20,9,Chv
74,74,17.241,111.293,20,9,Chv
75,75,17.317,110.804,20,9,Chv
76,76,17.154,111.857,19,9,Chv
77,77,17.189,111.630,19,9,Chv
78,78,17.234,111.338,19,9,Chv
79,79,23.182,82.771,19,9,Chv
80,80,39.583,48.475,19,9,Chv
81,81,53.13,36.115,19,9,Chv
82,82,53.501,35.865,19,9,Chv
83,83,55.977,34.278,19,9,Chv
84,84,49.081,39.095,19,9,Chv
85,85,51.298,37.405,19,9,Chv
86,86,49.973,38.397,19,9,Chv
87,87,60.129,31.911,23,9,Chv
88,88,62.326,30.787,22,9,Chv
89,89,54.553,35.173,22,9,Chv
90,90,52.011,36.892,22,9,Chv
91,91,55.009,34.882,22,9,Chv
92,92,57.666,33.274,22,9,Chv
93,93,37.02,51.831,23,9,Chv
94,94,17.606,108.986,23,9,Chv
95,95,16.85,113.875,23,9,Chv
96,96,16.901,113.532,23,9,Chv
97,97,16.932,113.324,23,9,Chv
98,98,16.976,113.030,23,9,Chv
99,99,22.508,85.250,22,9,Chv
100,100,43.51,44.100,22,9,Chv
101,101,51.108,37.544,22,9,Chv
102,102,55.264,34.721,22,9,Chv
103,103,53.709,35.726,22,9,Chv
104,104,55.408,34.630,22,9,Chv
105,105,59.031,32.505,22,9,Chv
106,106,40.003,47.966,25,9,Chv
107,107,18.106,105.976,24,9,Chv
108,108,17.456,109.922,24,9,Chv
109,109,17.524,109.496,24,9,Chv
110,110,17.222,111.416,24,9,Chv
111,111,17.012,112.791,24,9,Chv
112,112,17.347,110.613,23,9,Chv
113,113,16.964,113.110,23,9,Chv
114,114,16.967,113.090,23,9,Chv
115,115,16.943,113.250,23,9,Chv
116,116,17.051,112.533,23,9,Chv
117,117,16.863,113.788,23,9,Chv
118,118,17.225,111.396,23,9,Chv
119,119,17.683,108.511,23,9,Chv
120,120,17.225,111.396,22,9,Chv
121,121,16.973,113.050,22,9,Chv
122,122,17.641,108.769,22,9,Chv
123,123,17.334,110.696,22,9,Chv
124,124,18.642,102.929,22,9,Chv
125,125,32.413,59.198,22,9,Chv
126,126,40.926,46.885,22,9,Chv
127,127,52.927,36.254,22,9,Chv
128,128,49.928,38.431,22,9,Chv
129,129,42.612,45.030,22,9,Chv
130,130,57.993,33.087,23,9,Chv
131,131,65.569,29.264,23,9,Chv
132,132,51.538,37.231,22,9,Chv
133,133,53.513,35.857,22,9,Chv
134,134,53.644,35.769,22,9,Chv
135,135,57.091,33.610,22,9,Chv
136,136,41.713,46.000,22,9,Chv
137,137,17.497,109.665,21,9,Chv
138,138,16.805,114.180,21,9,Chv
139,139,16.689,114.974,20,9,Chv
140,140,16.879,113.680,19,9,Chv
141,141,16.982,112.990,19,9,Chv
142,142,17.054,112.513,19,9,Chv
143,143,17.451,109.954,19,9,Chv
144,144,17.245,111.267,19,9,Chv
145,145,17.291,110.971,19,9,Chv
146,146,41.053,46.740,19,9,Chv
147,147,50.655,37.880,18,9,Chv
148,148,54.41,35.266,18,9,Chv
149,149,52.605,36.476,18,9,Chv
150,150,53.817,35.654,18,9,Chv
151,151,53.897,35.601,19,9,Chv
152,152,54.938,34.927,18,9,Chv
153,153,59.89,32.039,18,9,Chv
154,154,47.684,40.240,18,9,Chv
155,155,21.419,89.584,30,9,Chv
156,156,17.878,107.327,30,9,Chv
157,157,17.719,108.291,30,9,Chv
158,158,17.86,107.436,30,9,Chv
159,159,17.651,108.708,30,9,Chv
