,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,9,20,Tyt
1,1,16.661,115.167,10,20,Tyt
2,2,16.215,118.335,11,20,Tyt
3,3,16.13,118.958,11,20,Tyt
4,4,16.69,114.967,13,20,Tyt
5,5,16.281,117.855,13,20,Tyt
6,6,16.264,117.978,13,20,Tyt
7,7,16.303,117.696,13,20,Tyt
8,8,16.363,117.265,12,20,Tyt
9,9,16.157,118.760,12,20,Tyt
10,10,16.2,118.444,12,20,Tyt
11,11,16.22,118.298,12,20,Tyt
12,12,16.235,118.189,12,20,Tyt
13,13,16.237,118.175,12,20,Tyt
14,14,16.246,118.109,12,20,Tyt
15,15,16.288,117.805,12,20,Tyt
16,16,16.238,118.167,12,20,Tyt
17,17,16.211,118.364,12,20,Tyt
18,18,16.11,119.106,12,20,Tyt
19,19,16.171,118.657,12,20,Tyt
20,20,16.144,118.855,12,20,Tyt
21,21,16.276,117.891,12,20,Tyt
22,22,16.554,115.912,12,20,Tyt
23,23,16.332,117.487,12,20,Tyt
24,24,16.266,117.964,12,20,Tyt
25,25,16.399,117.007,12,20,Tyt
26,26,16.451,116.637,12,20,Tyt
27,27,16.663,115.153,11,20,Tyt
28,28,16.581,115.723,11,20,Tyt
29,29,16.651,115.236,11,20,Tyt
30,30,16.835,113.977,11,20,Tyt
31,31,17.632,108.825,12,20,Tyt
32,32,17.484,109.746,12,20,Tyt
33,33,17.953,106.879,11,20,Tyt
34,34,18.076,106.152,10,20,Tyt
35,35,18.165,105.632,10,20,Tyt
36,36,18.185,105.516,10,20,Tyt
37,37,18.429,104.119,10,20,Tyt
38,38,18.875,101.658,10,20,Tyt
39,39,19.225,99.808,11,20,Tyt
40,40,19.062,100.661,11,20,Tyt
41,41,19.256,99.647,10,20,Tyt
42,42,19.03,100.830,10,20,Tyt
43,43,19.008,100.947,10,20,Tyt
44,44,19.428,98.765,10,20,Tyt
45,45,28.17,68.115,18,20,Tyt
46,46,37.87,50.668,32,20,Tyt
47,47,17.725,108.254,32,20,Tyt
48,48,17.58,109.147,29,20,Tyt
49,49,17.751,108.095,26,20,Tyt
50,50,18.093,106.052,25,20,Tyt
51,51,17.657,108.671,24,20,Tyt
52,52,17.652,108.702,24,20,Tyt
53,53,17.728,108.236,25,20,Tyt
54,54,17.527,109.477,24,20,Tyt
55,55,18.101,106.005,24,20,Tyt
56,56,17.352,110.581,23,20,Tyt
57,57,17.966,106.802,20,20,Tyt
58,58,17.492,109.696,20,20,Tyt
59,59,17.453,109.941,18,20,Tyt
60,60,17.447,109.979,17,20,Tyt
61,61,17.483,109.752,17,20,Tyt
62,62,17.393,110.320,17,20,Tyt
63,63,17.494,109.683,17,20,Tyt
64,64,17.582,109.134,17,20,Tyt
65,65,17.569,109.215,16,20,Tyt
66,66,17.817,107.695,16,20,Tyt
67,67,17.257,111.190,16,20,Tyt
68,68,17.143,111.929,16,20,Tyt
69,69,17.226,111.390,15,20,Tyt
70,70,17.221,111.422,15,20,Tyt
71,71,17.32,110.785,15,20,Tyt
72,72,17.274,111.080,15,20,Tyt
73,73,17.361,110.524,15,20,Tyt
74,74,17.357,110.549,14,20,Tyt
75,75,17.36,110.530,13,20,Tyt
76,76,17.377,110.422,13,20,Tyt
77,77,17.178,111.701,13,20,Tyt
78,78,17.416,110.175,13,20,Tyt
79,79,21.006,91.345,14,20,Tyt
80,80,39.1,49.074,14,20,Tyt
81,81,52.685,36.420,14,20,Tyt
82,82,54.035,35.510,14,20,Tyt
83,83,54.406,35.268,14,20,Tyt
84,84,50.605,37.917,14,20,Tyt
85,85,53.075,36.153,14,20,Tyt
86,86,50.799,37.772,14,20,Tyt
87,87,44.998,42.642,10,20,Tyt
88,88,77.513,24.755,17,20,Tyt
89,89,54.678,35.093,17,20,Tyt
90,90,52.527,36.530,17,20,Tyt
91,91,54.077,35.483,17,20,Tyt
92,92,55.89,34.332,17,20,Tyt
93,93,43.94,43.669,18,20,Tyt
94,94,17.346,110.619,18,20,Tyt
95,95,16.671,115.098,18,20,Tyt
96,96,16.953,113.184,19,20,Tyt
97,97,17.196,111.584,19,20,Tyt
98,98,17.45,109.960,21,20,Tyt
99,99,21.664,88.571,20,20,Tyt
100,100,42.391,45.264,20,20,Tyt
101,101,51.417,37.318,20,20,Tyt
102,102,54.944,34.923,20,20,Tyt
103,103,53.759,35.693,20,20,Tyt
104,104,55.758,34.413,20,20,Tyt
105,105,58.757,32.657,20,20,Tyt
106,106,41.463,46.277,19,20,Tyt
107,107,17.983,106.701,19,20,Tyt
108,108,17.29,110.977,19,20,Tyt
109,109,17.545,109.364,21,20,Tyt
110,110,17.191,111.617,21,20,Tyt
111,111,17.143,111.929,21,20,Tyt
112,112,16.824,114.051,20,20,Tyt
113,113,16.76,114.487,20,20,Tyt
114,114,17.093,112.256,20,20,Tyt
115,115,16.786,114.310,20,20,Tyt
116,116,16.75,114.555,20,20,Tyt
117,117,16.914,113.444,20,20,Tyt
118,118,16.795,114.248,20,20,Tyt
119,119,16.89,113.606,20,20,Tyt
120,120,16.854,113.848,20,20,Tyt
121,121,16.934,113.310,20,20,Tyt
122,122,16.834,113.984,19,20,Tyt
123,123,16.746,114.583,19,20,Tyt
124,124,17.363,110.511,19,20,Tyt
125,125,30.307,63.312,19,20,Tyt
126,126,42.675,44.963,19,20,Tyt
127,127,52.545,36.517,19,20,Tyt
128,128,51.478,37.274,19,20,Tyt
129,129,43.691,43.918,19,20,Tyt
130,130,47.647,40.271,15,20,Tyt
131,131,76.261,25.161,20,20,Tyt
132,132,52.408,36.613,19,20,Tyt
133,133,53.603,35.797,19,20,Tyt
134,134,53.498,35.867,19,20,Tyt
135,135,56.157,34.168,19,20,Tyt
136,136,45.507,42.165,18,20,Tyt
137,137,17.359,110.536,18,20,Tyt
138,138,16.881,113.666,18,20,Tyt
139,139,17.054,112.513,19,20,Tyt
140,140,16.793,114.262,18,20,Tyt
141,141,17.023,112.718,18,20,Tyt
142,142,17.123,112.060,18,20,Tyt
143,143,17.381,110.396,18,20,Tyt
144,144,17.07,112.408,18,20,Tyt
145,145,17.324,110.760,18,20,Tyt
146,146,37.255,51.504,18,20,Tyt
147,147,52.693,36.415,17,20,Tyt
148,148,54.658,35.106,17,20,Tyt
149,149,52.305,36.685,17,20,Tyt
150,150,34.39,55.795,17,20,Tyt
151,151,38.874,49.359,14,20,Tyt
152,152,45.707,41.980,13,20,Tyt
153,153,65.294,29.387,17,20,Tyt
154,154,61.648,31.125,17,20,Tyt
155,155,28.215,68.006,17,20,Tyt
156,156,19.124,100.335,17,20,Tyt
157,157,18.009,106.547,17,20,Tyt
158,158,17.634,108.813,17,20,Tyt
159,159,17.875,107.345,17,20,Tyt
160,160,17.311,110.843,17,20,Tyt
161,161,17.582,109.134,17,20,Tyt
162,162,17.427,110.105,17,20,Tyt
163,163,17.55,109.333,17,20,Tyt
164,164,17.678,108.542,17,20,Tyt
165,165,17.49,109.708,17,20,Tyt
166,166,17.52,109.521,17,20,Tyt
167,167,17.533,109.439,17,20,Tyt
168,168,17.233,111.345,17,20,Tyt
169,169,17.254,111.209,17,20,Tyt
170,170,17.304,110.888,17,20,Tyt
171,171,17.213,111.474,17,20,Tyt
172,172,17.307,110.868,17,20,Tyt
173,173,17.438,110.036,17,20,Tyt
174,174,17.77,107.980,17,20,Tyt
175,175,17.279,111.048,17,20,Tyt
176,176,17.238,111.312,17,20,Tyt
177,177,17.272,111.093,17,20,Tyt
178,178,17.341,110.651,17,20,Tyt
179,179,17.367,110.485,17,20,Tyt
180,180,17.461,109.891,17,20,Tyt
181,181,17.513,109.564,17,20,Tyt
182,182,17.518,109.533,17,20,Tyt
183,183,17.615,108.930,16,20,Tyt
184,184,17.64,108.776,16,20,Tyt
185,185,17.434,110.061,16,20,Tyt
186,186,17.677,108.548,16,20,Tyt
187,187,17.408,110.225,16,20,Tyt
188,188,17.334,110.696,16,20,Tyt
189,189,17.386,110.365,16,20,Tyt
190,190,17.437,110.042,15,20,Tyt
191,191,17.53,109.458,15,20,Tyt
192,192,17.534,109.433,14,20,Tyt
193,193,17.519,109.527,14,20,Tyt
194,194,17.544,109.371,14,20,Tyt
195,195,17.885,107.285,12,20,Tyt
196,196,17.739,108.168,11,20,Tyt
197,197,17.869,107.381,11,20,Tyt
198,198,17.838,107.568,10,20,Tyt
199,199,17.442,110.010,10,20,Tyt
200,200,17.346,110.619,8,20,Tyt
201,201,17.455,109.928,7,20,Tyt
202,202,17.446,109.985,7,20,Tyt
203,203,17.189,111.630,7,20,Tyt
204,204,17.363,110.511,6,20,Tyt
205,205,17.412,110.200,5,20,Tyt
206,206,17.422,110.137,5,20,Tyt
207,207,17.484,109.746,5,20,Tyt
208,208,18.16,105.661,5,20,Tyt
209,209,17.878,107.327,5,20,Tyt
210,210,27.026,70.998,4,20,Tyt
211,211,37.244,51.520,16,20,Tyt
212,212,16.816,114.106,16,20,Tyt
213,213,16.95,113.204,16,20,Tyt
214,214,16.936,113.297,16,20,Tyt
215,215,17.049,112.546,15,20,Tyt
216,216,17.208,111.506,14,20,Tyt
217,217,17.108,112.158,14,20,Tyt
218,218,17.114,112.119,14,20,Tyt
219,219,17.11,112.145,14,20,Tyt
220,220,17.112,112.132,14,20,Tyt
221,221,17.198,111.571,14,20,Tyt
222,222,17.13,112.014,14,20,Tyt
223,223,17.03,112.672,14,20,Tyt
224,224,17.241,111.293,14,20,Tyt
225,225,17.461,109.891,13,20,Tyt
226,226,17.352,110.581,13,20,Tyt
227,227,17.687,108.486,13,20,Tyt
228,228,17.454,109.935,13,20,Tyt
229,229,17.695,108.437,13,20,Tyt
230,230,17.6,109.023,12,20,Tyt
231,231,17.869,107.381,12,20,Tyt
232,232,17.813,107.719,12,20,Tyt
233,233,17.895,107.225,12,20,Tyt
234,234,17.658,108.665,12,20,Tyt
235,235,17.726,108.248,12,20,Tyt
236,236,17.685,108.499,12,20,Tyt
237,237,17.832,107.604,12,20,Tyt
238,238,35.18,54.542,12,20,Tyt
239,239,37.204,51.575,12,20,Tyt
240,240,48.48,39.579,12,20,Tyt
241,241,42.802,44.830,9,20,Tyt
242,242,66.089,29.034,12,20,Tyt
243,243,51.381,37.345,12,20,Tyt
244,244,52.942,36.243,12,20,Tyt
245,245,47.057,40.776,12,20,Tyt
246,246,47.225,40.631,12,20,Tyt
247,247,18.113,105.935,11,20,Tyt
248,248,17.373,110.447,12,20,Tyt
249,249,17.248,111.248,12,20,Tyt
250,250,17.313,110.830,12,20,Tyt
251,251,36.282,52.886,12,20,Tyt
252,252,52.112,36.821,12,20,Tyt
253,253,53.814,35.656,12,20,Tyt
254,254,54.149,35.436,12,20,Tyt
255,255,53.33,35.980,12,20,Tyt
256,256,53.414,35.923,12,20,Tyt
257,257,53.342,35.972,12,20,Tyt
258,258,52.853,36.304,12,20,Tyt
259,259,46.419,41.337,3,20,Tyt
260,260,62.743,30.582,10,20,Tyt
261,261,54.46,35.233,10,20,Tyt
262,262,53.779,35.679,10,20,Tyt
263,263,53.333,35.978,10,20,Tyt
264,264,53.194,36.072,10,20,Tyt
265,265,52.718,36.397,8,20,Tyt
266,266,17.821,107.671,6,20,Tyt
267,267,16.748,114.569,5,20,Tyt
268,268,16.916,113.431,4,20,Tyt
269,269,18.769,102.232,4,20,Tyt
270,270,39.468,48.617,4,20,Tyt
271,271,52.97,36.224,4,20,Tyt
272,272,54.098,35.469,4,20,Tyt
273,273,53.328,35.981,4,20,Tyt
274,274,53.991,35.539,4,20,Tyt
275,275,55.104,34.821,4,20,Tyt
276,276,58.33,32.896,4,20,Tyt
277,277,17.621,108.893,3,20,Tyt
278,278,17.14,111.949,3,20,Tyt
279,279,17.09,112.276,3,20,Tyt
280,280,17.055,112.507,3,20,Tyt
281,281,18.471,103.882,3,20,Tyt
282,282,42.894,44.734,3,20,Tyt
283,283,53.708,35.727,3,20,Tyt
284,284,52.823,36.325,2,20,Tyt
285,285,54.069,35.488,2,20,Tyt
286,286,53.645,35.768,2,20,Tyt
287,287,54.152,35.434,2,20,Tyt
288,288,61.869,31.014,2,20,Tyt
289,289,17.89,107.255,4,20,Tyt
290,290,16.996,112.897,4,20,Tyt
291,291,16.999,112.877,3,20,Tyt
292,292,16.978,113.017,3,20,Tyt
293,293,17.475,109.803,3,20,Tyt
294,294,37.293,51.452,3,20,Tyt
295,295,52.803,36.339,3,20,Tyt
296,296,53.991,35.539,3,20,Tyt
297,297,53.832,35.644,3,20,Tyt
298,298,53.685,35.742,3,20,Tyt
299,299,53.752,35.697,3,20,Tyt
300,300,57.13,33.587,3,20,Tyt
301,301,18.277,104.984,5,20,Tyt
302,302,17.155,111.851,6,20,Tyt
303,303,17.145,111.916,6,20,Tyt
304,304,17.065,112.441,6,20,Tyt
305,305,16.911,113.465,6,20,Tyt
306,306,17.016,112.764,6,20,Tyt
307,307,17.123,112.060,6,20,Tyt
308,308,17.146,111.909,6,20,Tyt
309,309,17.091,112.270,6,20,Tyt
310,310,17.595,109.054,6,20,Tyt
311,311,33.589,57.126,6,20,Tyt
312,312,54.422,35.258,6,20,Tyt
313,313,54.04,35.507,6,20,Tyt
314,314,53.653,35.763,6,20,Tyt
315,315,54.559,35.169,6,20,Tyt
316,316,54.363,35.296,6,20,Tyt
317,317,54.624,35.127,6,20,Tyt
318,318,54.233,35.381,6,20,Tyt
319,319,53.618,35.786,6,20,Tyt
320,320,53.119,36.123,6,20,Tyt
321,321,53.538,35.840,6,20,Tyt
322,322,53.707,35.727,6,20,Tyt
323,323,55.803,34.385,6,20,Tyt
324,324,50.144,38.266,1,20,Tyt
325,325,73.455,26.122,13,20,Tyt
326,326,54.738,35.054,13,20,Tyt
327,327,53.041,36.176,13,20,Tyt
328,328,54.74,35.053,13,20,Tyt
329,329,44.332,43.283,13,20,Tyt
330,330,18.034,106.399,11,20,Tyt
331,331,16.616,115.479,8,20,Tyt
332,332,16.741,114.617,7,20,Tyt
333,333,16.77,114.419,7,20,Tyt
334,334,16.792,114.269,5,20,Tyt
335,335,16.971,113.063,5,20,Tyt
336,336,17.019,112.745,4,20,Tyt
337,337,16.92,113.404,3,20,Tyt
338,338,16.967,113.090,3,20,Tyt
339,339,16.976,113.030,3,20,Tyt
340,340,17.094,112.250,3,20,Tyt
341,341,17.171,111.747,3,20,Tyt
342,342,17.225,111.396,3,20,Tyt
343,343,17.156,111.844,3,20,Tyt
344,344,17.22,111.429,3,20,Tyt
345,345,17.249,111.241,3,20,Tyt
346,346,17.387,110.358,3,20,Tyt
347,347,17.305,110.881,3,20,Tyt
348,348,17.108,112.158,2,20,Tyt
349,349,17.198,111.571,2,20,Tyt
350,350,17.134,111.988,2,20,Tyt
351,351,17.068,112.421,2,20,Tyt
352,352,16.927,113.357,2,20,Tyt
353,353,17.018,112.751,2,20,Tyt
354,354,17.703,108.388,2,20,Tyt
355,355,36.409,52.701,2,20,Tyt
356,356,53.375,35.949,2,20,Tyt
357,357,49.256,38.956,1,20,Tyt
358,358,60.767,31.576,3,20,Tyt
359,359,54.421,35.258,3,20,Tyt
360,360,52.514,36.539,3,20,Tyt
361,361,60.402,31.767,3,20,Tyt
362,362,17.73,108.223,8,20,Tyt
363,363,17.068,112.421,11,20,Tyt
364,364,17.085,112.309,13,20,Tyt
365,365,21.922,87.529,13,20,Tyt
366,366,48.874,39.260,13,20,Tyt
367,367,53.458,35.894,13,20,Tyt
368,368,53.843,35.637,13,20,Tyt
369,369,52.764,36.366,13,20,Tyt
370,370,54.159,35.429,13,20,Tyt
371,371,55.868,34.345,13,20,Tyt
372,372,60.621,31.652,14,20,Tyt
373,373,45.567,42.109,14,20,Tyt
374,374,18.008,106.553,15,20,Tyt
375,375,17.058,112.487,15,20,Tyt
376,376,17.495,109.677,17,20,Tyt
377,377,17.307,110.868,18,20,Tyt
378,378,17.22,111.429,19,20,Tyt
379,379,17.356,110.555,19,20,Tyt
380,380,17.358,110.543,19,20,Tyt
381,381,17.4,110.276,19,20,Tyt
382,382,17.322,110.772,19,20,Tyt
383,383,17.554,109.308,19,20,Tyt
384,384,42.507,45.141,19,20,Tyt
385,385,53.012,36.196,19,20,Tyt
386,386,50.561,37.950,19,20,Tyt
387,387,55.692,34.454,19,20,Tyt
388,388,55.71,34.443,19,20,Tyt
389,389,51.175,37.495,19,20,Tyt
390,390,54.07,35.487,19,20,Tyt
391,391,54.144,35.439,19,20,Tyt
392,392,49.844,38.496,19,20,Tyt
393,393,45.422,42.244,8,20,Tyt
394,394,70.852,27.082,23,20,Tyt
395,395,52.746,36.378,22,20,Tyt
396,396,55.228,34.743,21,20,Tyt
397,397,39.569,48.493,19,20,Tyt
398,398,18.172,105.591,15,20,Tyt
399,399,17.27,111.106,14,20,Tyt
400,400,17.128,112.027,13,20,Tyt
401,401,17.188,111.636,11,20,Tyt
402,402,17.0,112.871,10,20,Tyt
403,403,17.05,112.540,11,20,Tyt
404,404,17.282,111.029,11,20,Tyt
405,405,17.112,112.132,10,20,Tyt
406,406,17.031,112.665,9,20,Tyt
407,407,16.759,114.494,9,20,Tyt
408,408,16.945,113.237,9,20,Tyt
409,409,16.952,113.190,9,20,Tyt
410,410,17.194,111.597,9,20,Tyt
411,411,17.103,112.191,9,20,Tyt
412,412,16.987,112.957,9,20,Tyt
413,413,17.191,111.617,9,20,Tyt
414,414,17.098,112.224,9,20,Tyt
415,415,17.068,112.421,8,20,Tyt
416,416,17.044,112.579,8,20,Tyt
417,417,17.119,112.086,8,20,Tyt
418,418,17.018,112.751,8,20,Tyt
419,419,17.118,112.093,8,20,Tyt
420,420,17.203,111.539,7,20,Tyt
421,421,17.208,111.506,7,20,Tyt
422,422,17.003,112.851,6,20,Tyt
423,423,17.095,112.243,7,20,Tyt
424,424,17.096,112.237,6,20,Tyt
425,425,17.107,112.165,6,20,Tyt
426,426,17.306,110.875,5,20,Tyt
427,427,17.12,112.079,5,20,Tyt
428,428,17.016,112.764,3,20,Tyt
429,429,17.04,112.606,3,20,Tyt
430,430,17.245,111.267,2,20,Tyt
431,431,17.132,112.001,1,20,Tyt
432,432,17.164,111.792,1,20,Tyt
433,433,17.446,109.985,1,20,Tyt
434,434,17.31,110.849,1,20,Tyt
435,435,17.39,110.339,1,20,Tyt
436,436,17.462,109.884,1,20,Tyt
437,437,18.053,106.287,2,20,Tyt
438,438,18.229,105.261,4,20,Tyt
439,439,17.852,107.484,3,20,Tyt
440,440,18.091,106.064,3,20,Tyt
441,441,18.716,102.522,3,20,Tyt
442,442,27.697,69.278,3,20,Tyt
443,443,37.422,51.275,15,20,Tyt
