,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,26,41,Frd
1,1,16.49,116.361,25,41,Frd
2,2,16.485,116.397,26,41,Frd
3,3,16.771,114.412,29,41,Frd
4,4,16.697,114.919,31,41,Frd
5,5,16.972,113.057,32,41,Frd
6,6,17.395,110.308,38,41,Frd
7,7,16.873,113.720,37,41,Frd
8,8,16.811,114.140,37,41,Frd
9,9,16.877,113.693,37,41,Frd
10,10,16.67,115.105,37,41,Frd
11,11,16.713,114.809,37,41,Frd
12,12,16.744,114.596,38,41,Frd
13,13,16.665,115.140,37,41,Frd
14,14,16.734,114.665,38,41,Frd
15,15,16.474,116.474,38,41,Frd
16,16,16.576,115.758,38,41,Frd
17,17,16.5,116.291,37,41,Frd
18,18,16.279,117.870,37,41,Frd
19,19,16.252,118.065,37,41,Frd
20,20,16.316,117.602,37,41,Frd
21,21,16.456,116.602,37,41,Frd
22,22,16.572,115.786,37,41,Frd
23,23,16.608,115.535,37,41,Frd
24,24,16.569,115.807,37,41,Frd
25,25,17.003,112.851,37,41,Frd
26,26,16.635,115.347,35,41,Frd
27,27,16.454,116.616,35,41,Frd
28,28,17.445,109.991,34,41,Frd
29,29,17.484,109.746,33,41,Frd
30,30,17.346,110.619,33,41,Frd
31,31,17.548,109.346,33,41,Frd
32,32,17.759,108.047,33,41,Frd
33,33,18.42,104.169,32,41,Frd
34,34,18.324,104.715,30,41,Frd
35,35,18.283,104.950,29,41,Frd
36,36,18.388,104.351,28,41,Frd
37,37,18.711,102.549,27,41,Frd
38,38,18.498,103.730,27,41,Frd
39,39,18.466,103.910,27,41,Frd
40,40,18.656,102.852,26,41,Frd
41,41,18.758,102.292,24,41,Frd
42,42,18.743,102.374,24,41,Frd
43,43,19.049,100.730,23,41,Frd
44,44,19.036,100.798,22,41,Frd
45,45,19.18,100.042,21,41,Frd
46,46,19.044,100.756,20,41,Frd
47,47,19.462,98.592,21,41,Frd
48,48,19.61,97.848,19,41,Frd
49,49,19.069,100.624,18,41,Frd
50,50,18.825,101.928,16,41,Frd
51,51,18.518,103.618,15,41,Frd
52,52,19.146,100.219,17,41,Frd
53,53,19.026,100.851,18,41,Frd
54,54,18.982,101.085,18,41,Frd
55,55,18.888,101.588,16,41,Frd
56,56,19.346,99.183,16,41,Frd
57,57,46.75,41.044,36,41,Frd
58,58,25.088,76.483,37,41,Frd
59,59,16.597,115.611,37,41,Frd
60,60,16.571,115.793,37,41,Frd
61,61,16.795,114.248,37,41,Frd
62,62,16.656,115.202,37,41,Frd
63,63,16.886,113.633,37,41,Frd
64,64,17.302,110.900,37,41,Frd
65,65,17.374,110.441,37,41,Frd
66,66,17.179,111.695,36,41,Frd
67,67,17.332,110.709,36,41,Frd
68,68,17.525,109.489,36,41,Frd
69,69,17.5,109.646,35,41,Frd
70,70,17.372,110.454,35,41,Frd
71,71,17.287,110.997,35,41,Frd
72,72,17.265,111.138,35,41,Frd
73,73,17.327,110.740,35,41,Frd
74,74,17.3,110.913,35,41,Frd
75,75,17.411,110.206,35,41,Frd
76,76,17.539,109.402,34,41,Frd
77,77,18.484,103.809,34,41,Frd
78,78,34.988,54.842,34,41,Frd
79,79,52.654,36.442,34,41,Frd
80,80,53.197,36.070,34,41,Frd
81,81,54.206,35.398,34,41,Frd
82,82,52.907,36.267,34,41,Frd
83,83,53.336,35.976,34,41,Frd
84,84,51.449,37.295,34,41,Frd
85,85,63.92,30.019,35,41,Frd
86,86,62.57,30.666,36,41,Frd
87,87,55.059,34.850,36,41,Frd
88,88,52.625,36.462,36,41,Frd
89,89,53.557,35.827,36,41,Frd
90,90,53.575,35.815,36,41,Frd
91,91,50.388,38.080,35,41,Frd
92,92,17.026,112.698,35,41,Frd
93,93,16.517,116.171,35,41,Frd
94,94,16.68,115.036,35,41,Frd
95,95,16.775,114.385,35,41,Frd
96,96,16.597,115.611,35,41,Frd
97,97,18.423,104.152,35,41,Frd
98,98,36.256,52.924,35,41,Frd
99,99,53.788,35.673,35,41,Frd
100,100,54.048,35.502,35,41,Frd
101,101,53.002,36.202,35,41,Frd
102,102,63.608,30.166,36,41,Frd
103,103,53.498,35.867,35,41,Frd
104,104,50.295,38.151,35,41,Frd
105,105,18.154,105.696,35,41,Frd
106,106,17.423,110.130,35,41,Frd
107,107,17.583,109.128,35,41,Frd
108,108,17.19,111.623,35,41,Frd
109,109,17.167,111.773,35,41,Frd
110,110,17.071,112.401,35,41,Frd
111,111,17.055,112.507,35,41,Frd
