,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,19,42,Tyt
1,1,16.622,115.437,20,42,Tyt
2,2,16.313,117.624,20,42,Tyt
3,3,16.22,118.298,19,42,Tyt
4,4,16.543,115.989,19,42,Tyt
5,5,16.717,114.781,19,42,Tyt
6,6,16.468,116.517,18,42,Tyt
7,7,16.456,116.602,18,42,Tyt
8,8,16.409,116.936,18,42,Tyt
9,9,16.373,117.193,18,42,Tyt
10,10,16.456,116.602,18,42,Tyt
11,11,16.531,116.073,18,42,Tyt
12,12,16.435,116.751,18,42,Tyt
13,13,16.389,117.079,18,42,Tyt
14,14,16.42,116.857,18,42,Tyt
15,15,16.373,117.193,18,42,Tyt
16,16,16.295,117.754,18,42,Tyt
17,17,16.305,117.682,18,42,Tyt
18,18,16.321,117.566,18,42,Tyt
19,19,16.264,117.978,18,42,Tyt
20,20,16.203,118.423,18,42,Tyt
21,21,16.282,117.848,18,42,Tyt
22,22,16.27,117.935,18,42,Tyt
23,23,16.301,117.711,18,42,Tyt
24,24,16.208,118.386,18,42,Tyt
25,25,16.67,115.105,18,42,Tyt
26,26,16.527,116.101,18,42,Tyt
27,27,17.512,109.571,20,42,Tyt
28,28,17.269,111.112,20,42,Tyt
29,29,17.774,107.955,20,42,Tyt
30,30,17.976,106.742,21,42,Tyt
31,31,18.121,105.888,22,42,Tyt
32,32,18.833,101.885,27,42,Tyt
33,33,18.932,101.352,27,42,Tyt
34,34,18.137,105.795,26,42,Tyt
35,35,39.664,48.376,32,42,Tyt
36,36,26.335,72.861,36,42,Tyt
37,37,18.175,105.574,35,42,Tyt
38,38,18.007,106.559,34,42,Tyt
39,39,17.788,107.870,34,42,Tyt
40,40,17.006,112.831,34,42,Tyt
41,41,17.625,108.868,34,42,Tyt
42,42,17.315,110.817,32,42,Tyt
43,43,17.741,108.156,31,42,Tyt
44,44,17.46,109.897,30,42,Tyt
45,45,17.525,109.489,30,42,Tyt
46,46,17.412,110.200,28,42,Tyt
47,47,17.19,111.623,28,42,Tyt
48,48,17.703,108.388,25,42,Tyt
49,49,17.602,109.010,22,42,Tyt
50,50,17.31,110.849,20,42,Tyt
51,51,17.368,110.479,19,42,Tyt
52,52,17.701,108.401,19,42,Tyt
53,53,17.681,108.523,19,42,Tyt
54,54,17.779,107.925,19,42,Tyt
55,55,17.638,108.788,17,42,Tyt
56,56,17.7,108.407,15,42,Tyt
57,57,17.462,109.884,13,42,Tyt
58,58,17.143,111.929,13,42,Tyt
59,59,17.27,111.106,11,42,Tyt
60,60,17.611,108.955,11,42,Tyt
61,61,17.471,109.828,12,42,Tyt
62,62,17.105,112.178,12,42,Tyt
63,63,17.165,111.786,12,42,Tyt
64,64,17.552,109.321,12,42,Tyt
65,65,17.503,109.627,12,42,Tyt
66,66,17.414,110.187,12,42,Tyt
67,67,17.575,109.178,12,42,Tyt
68,68,17.09,112.276,11,42,Tyt
69,69,17.464,109.872,11,42,Tyt
70,70,17.471,109.828,11,42,Tyt
71,71,17.355,110.562,11,42,Tyt
72,72,17.295,110.945,11,42,Tyt
73,73,17.112,112.132,11,42,Tyt
74,74,17.082,112.329,11,42,Tyt
75,75,17.43,110.086,10,42,Tyt
76,76,16.995,112.904,9,42,Tyt
77,77,17.091,112.270,9,42,Tyt
78,78,17.231,111.357,9,42,Tyt
79,79,17.814,107.713,9,42,Tyt
80,80,34.673,55.340,9,42,Tyt
81,81,52.062,36.856,9,42,Tyt
82,82,52.992,36.209,9,42,Tyt
83,83,53.691,35.738,9,42,Tyt
84,84,53.464,35.890,9,42,Tyt
