,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,10,21,Frd
1,1,16.627,115.403,9,21,Frd
2,2,16.164,118.708,9,21,Frd
3,3,16.102,119.165,9,21,Frd
4,4,16.141,118.877,9,21,Frd
5,5,16.165,118.701,9,21,Frd
6,6,16.368,117.229,8,21,Frd
7,7,16.122,119.017,8,21,Frd
8,8,15.968,120.165,8,21,Frd
9,9,16.121,119.025,8,21,Frd
10,10,16.184,118.562,8,21,Frd
11,11,16.16,118.738,8,21,Frd
12,12,16.162,118.723,8,21,Frd
13,13,16.215,118.335,8,21,Frd
14,14,16.211,118.364,8,21,Frd
15,15,16.208,118.386,8,21,Frd
16,16,16.183,118.569,8,21,Frd
17,17,16.191,118.510,8,21,Frd
18,18,16.112,119.091,8,21,Frd
19,19,16.054,119.522,8,21,Frd
20,20,16.171,118.657,8,21,Frd
21,21,16.154,118.782,8,21,Frd
22,22,16.239,118.160,8,21,Frd
23,23,16.728,114.706,8,21,Frd
24,24,16.51,116.220,8,21,Frd
25,25,16.38,117.143,8,21,Frd
26,26,16.453,116.623,8,21,Frd
27,27,16.602,115.576,7,21,Frd
28,28,16.415,116.893,7,21,Frd
29,29,16.527,116.101,7,21,Frd
30,30,17.073,112.388,7,21,Frd
31,31,16.784,114.323,6,21,Frd
32,32,16.723,114.740,6,21,Frd
33,33,17.11,112.145,6,21,Frd
34,34,17.474,109.809,6,21,Frd
35,35,17.96,106.837,6,21,Frd
36,36,17.91,107.136,6,21,Frd
37,37,17.531,109.452,6,21,Frd
38,38,17.492,109.696,5,21,Frd
39,39,17.318,110.798,4,21,Frd
40,40,17.942,106.945,4,21,Frd
41,41,18.322,104.727,5,21,Frd
42,42,18.204,105.405,5,21,Frd
43,43,18.079,106.134,5,21,Frd
44,44,18.267,105.042,5,21,Frd
45,45,18.656,102.852,4,21,Frd
46,46,18.795,102.091,4,21,Frd
47,47,18.641,102.934,4,21,Frd
48,48,18.985,101.069,3,21,Frd
49,49,18.563,103.367,3,21,Frd
50,50,19.532,98.239,3,21,Frd
51,51,18.399,104.288,3,21,Frd
52,52,18.828,101.912,3,21,Frd
53,53,18.906,101.492,3,21,Frd
54,54,27.454,69.891,4,21,Frd
55,55,40.961,46.845,18,21,Frd
56,56,17.622,108.887,17,21,Frd
57,57,17.174,111.727,14,21,Frd
58,58,16.732,114.678,14,21,Frd
59,59,16.775,114.385,12,21,Frd
60,60,16.901,113.532,10,21,Frd
61,61,16.957,113.157,10,21,Frd
62,62,17.16,111.818,10,21,Frd
63,63,17.202,111.545,10,21,Frd
64,64,17.406,110.238,10,21,Frd
65,65,17.455,109.928,9,21,Frd
66,66,17.28,111.042,9,21,Frd
67,67,17.179,111.695,9,21,Frd
68,68,17.218,111.442,9,21,Frd
69,69,17.558,109.284,8,21,Frd
70,70,17.439,110.029,8,21,Frd
71,71,17.132,112.001,8,21,Frd
72,72,17.093,112.256,7,21,Frd
73,73,17.142,111.936,7,21,Frd
74,74,17.202,111.545,7,21,Frd
75,75,27.267,70.371,17,21,Frd
