,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,11,47,Chv
1,1,16.662,115.160,12,47,Chv
2,2,16.228,118.240,12,47,Chv
3,3,16.096,119.210,12,47,Chv
4,4,16.225,118.262,11,47,Chv
5,5,16.217,118.320,11,47,Chv
6,6,16.304,117.689,11,47,Chv
7,7,16.317,117.595,11,47,Chv
8,8,16.141,118.877,10,47,Chv
9,9,16.185,118.554,10,47,Chv
10,10,16.216,118.328,10,47,Chv
11,11,16.266,117.964,10,47,Chv
12,12,16.187,118.540,10,47,Chv
13,13,16.235,118.189,10,47,Chv
14,14,16.215,118.335,10,47,Chv
15,15,16.198,118.459,10,47,Chv
16,16,16.212,118.357,10,47,Chv
17,17,16.097,119.202,10,47,Chv
18,18,16.051,119.544,10,47,Chv
19,19,16.112,119.091,10,47,Chv
20,20,16.605,115.556,10,47,Chv
21,21,16.091,119.247,10,47,Chv
22,22,16.19,118.518,10,47,Chv
23,23,16.173,118.642,10,47,Chv
24,24,16.4,117.000,10,47,Chv
25,25,16.406,116.957,10,47,Chv
26,26,16.358,117.300,10,47,Chv
27,27,16.943,113.250,9,47,Chv
28,28,16.497,116.312,9,47,Chv
29,29,16.512,116.206,9,47,Chv
30,30,17.056,112.500,9,47,Chv
31,31,17.341,110.651,8,47,Chv
32,32,17.139,111.955,8,47,Chv
33,33,17.272,111.093,8,47,Chv
34,34,17.669,108.597,8,47,Chv
35,35,17.938,106.968,8,47,Chv
36,36,18.296,104.875,8,47,Chv
37,37,18.087,106.087,8,47,Chv
38,38,18.443,104.039,8,47,Chv
39,39,18.391,104.334,8,47,Chv
40,40,18.747,102.352,8,47,Chv
41,41,18.58,103.272,7,47,Chv
42,42,19.628,97.758,7,47,Chv
43,43,18.826,101.923,7,47,Chv
44,44,19.27,99.574,7,47,Chv
45,45,18.877,101.648,7,47,Chv
46,46,19.011,100.931,6,47,Chv
47,47,18.935,101.336,6,47,Chv
48,48,18.988,101.053,6,47,Chv
49,49,19.267,99.590,7,47,Chv
50,50,19.182,100.031,5,47,Chv
51,51,18.92,101.416,5,47,Chv
52,52,19.237,99.745,5,47,Chv
53,53,18.548,103.451,5,47,Chv
54,54,18.763,102.265,5,47,Chv
55,55,19.066,100.640,4,47,Chv
56,56,18.831,101.896,4,47,Chv
57,57,19.666,97.569,5,47,Chv
58,58,19.917,96.340,5,47,Chv
59,59,46.365,41.385,32,47,Chv
60,60,17.238,111.312,31,47,Chv
61,61,17.235,111.332,31,47,Chv
62,62,17.213,111.474,31,47,Chv
63,63,17.347,110.613,31,47,Chv
64,64,17.392,110.327,29,47,Chv
65,65,17.337,110.677,29,47,Chv
66,66,17.37,110.466,28,47,Chv
67,67,17.218,111.442,28,47,Chv
68,68,17.664,108.628,28,47,Chv
69,69,17.437,110.042,25,47,Chv
70,70,17.261,111.164,25,47,Chv
71,71,17.203,111.539,24,47,Chv
72,72,17.023,112.718,24,47,Chv
73,73,17.073,112.388,24,47,Chv
74,74,17.195,111.591,24,47,Chv
75,75,17.136,111.975,24,47,Chv
76,76,17.185,111.656,23,47,Chv
77,77,17.255,111.203,23,47,Chv
78,78,17.997,106.618,23,47,Chv
79,79,30.873,62.151,23,47,Chv
80,80,36.723,52.251,23,47,Chv
81,81,54.157,35.430,23,47,Chv
82,82,51.128,37.529,23,47,Chv
83,83,58.265,32.932,23,47,Chv
84,84,47.162,40.685,23,47,Chv
85,85,47.481,40.412,23,47,Chv
86,86,48.367,39.672,23,47,Chv
87,87,42.952,44.673,17,47,Chv
88,88,53.472,35.884,12,47,Chv
89,89,54.565,35.165,12,47,Chv
90,90,53.149,36.102,12,47,Chv
91,91,52.508,36.543,12,47,Chv
92,92,37.168,51.625,12,47,Chv
93,93,59.581,32.205,12,47,Chv
94,94,23.86,80.419,12,47,Chv
95,95,18.534,103.529,12,47,Chv
96,96,17.789,107.864,12,47,Chv
97,97,17.43,110.086,12,47,Chv
98,98,17.558,109.284,12,47,Chv
99,99,17.406,110.238,12,47,Chv
100,100,29.163,65.796,12,47,Chv
101,101,40.298,47.615,12,47,Chv
102,102,51.535,37.233,12,47,Chv
103,103,60.293,31.825,13,47,Chv
104,104,44.848,42.785,12,47,Chv
105,105,45.445,42.222,12,47,Chv
106,106,50.341,38.116,12,47,Chv
107,107,51.517,37.246,12,47,Chv
108,108,17.668,108.603,12,47,Chv
109,109,17.212,111.480,12,47,Chv
110,110,16.91,113.471,11,47,Chv
111,111,16.75,114.555,11,47,Chv
112,112,16.63,115.382,11,47,Chv
113,113,16.311,117.638,10,47,Chv
114,114,16.831,114.004,10,47,Chv
115,115,16.609,115.528,10,47,Chv
116,116,16.658,115.188,10,47,Chv
117,117,16.697,114.919,10,47,Chv
118,118,16.682,115.022,10,47,Chv
119,119,16.672,115.091,10,47,Chv
120,120,16.678,115.050,10,47,Chv
121,121,16.743,114.603,10,47,Chv
122,122,16.735,114.658,10,47,Chv
123,123,16.717,114.781,10,47,Chv
124,124,16.657,115.195,10,47,Chv
125,125,16.843,113.923,10,47,Chv
126,126,29.079,65.986,10,47,Chv
127,127,42.328,45.332,10,47,Chv
128,128,52.839,36.314,10,47,Chv
129,129,52.759,36.369,10,47,Chv
130,130,58.275,32.927,11,47,Chv
131,131,55.72,34.436,10,47,Chv
132,132,52.998,36.205,10,47,Chv
133,133,52.94,36.245,10,47,Chv
134,134,53.777,35.681,10,47,Chv
135,135,53.937,35.575,10,47,Chv
136,136,54.183,35.413,10,47,Chv
137,137,52.122,36.814,12,47,Chv
138,138,18.199,105.434,13,47,Chv
139,139,16.956,113.163,13,47,Chv
140,140,16.81,114.146,13,47,Chv
141,141,16.933,113.317,13,47,Chv
142,142,17.085,112.309,13,47,Chv
143,143,17.201,111.552,13,47,Chv
144,144,17.353,110.575,13,47,Chv
145,145,17.371,110.460,13,47,Chv
146,146,19.109,100.413,13,47,Chv
147,147,60.847,31.535,15,47,Chv
148,148,50.031,38.352,15,47,Chv
149,149,53.99,35.540,15,47,Chv
150,150,49.548,38.726,15,47,Chv
151,151,68.526,28.001,17,47,Chv
152,152,38.191,50.242,17,47,Chv
153,153,44.081,43.529,16,47,Chv
154,154,52.451,36.583,16,47,Chv
155,155,49.008,39.153,16,47,Chv
156,156,18.492,103.764,16,47,Chv
157,157,17.303,110.894,16,47,Chv
158,158,17.274,111.080,16,47,Chv
159,159,17.16,111.818,15,47,Chv
160,160,17.234,111.338,14,47,Chv
161,161,17.202,111.545,12,47,Chv
