,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,29,35,Tyt
1,1,16.523,116.129,29,35,Tyt
2,2,16.376,117.171,29,35,Tyt
3,3,16.431,116.779,27,35,Tyt
4,4,16.355,117.322,27,35,Tyt
5,5,16.638,115.326,25,35,Tyt
6,6,16.508,116.235,25,35,Tyt
7,7,16.638,115.326,25,35,Tyt
8,8,16.614,115.493,25,35,Tyt
9,9,16.448,116.659,25,35,Tyt
10,10,16.387,117.093,25,35,Tyt
11,11,16.544,115.982,25,35,Tyt
12,12,16.438,116.730,25,35,Tyt
13,13,16.577,115.751,25,35,Tyt
14,14,16.401,116.993,25,35,Tyt
15,15,16.461,116.566,25,35,Tyt
16,16,16.447,116.666,25,35,Tyt
17,17,16.44,116.715,25,35,Tyt
18,18,16.442,116.701,25,35,Tyt
19,19,16.406,116.957,25,35,Tyt
20,20,16.411,116.922,25,35,Tyt
21,21,16.376,117.171,25,35,Tyt
22,22,16.415,116.893,25,35,Tyt
23,23,16.521,116.143,25,35,Tyt
24,24,16.516,116.178,24,35,Tyt
25,25,16.392,117.057,23,35,Tyt
26,26,16.265,117.971,23,35,Tyt
27,27,16.258,118.022,23,35,Tyt
28,28,16.98,113.004,22,35,Tyt
29,29,17.126,112.040,21,35,Tyt
30,30,17.284,111.016,20,35,Tyt
31,31,17.979,106.725,20,35,Tyt
32,32,18.642,102.929,24,35,Tyt
33,33,28.049,68.409,33,35,Tyt
34,34,37.891,50.640,37,35,Tyt
35,35,17.545,109.364,36,35,Tyt
36,36,18.037,106.381,35,35,Tyt
37,37,19.044,100.756,33,35,Tyt
38,38,17.964,106.814,33,35,Tyt
39,39,18.096,106.034,33,35,Tyt
40,40,18.055,106.275,33,35,Tyt
41,41,17.758,108.053,33,35,Tyt
42,42,17.911,107.130,34,35,Tyt
43,43,17.822,107.665,33,35,Tyt
44,44,18.161,105.655,33,35,Tyt
45,45,17.62,108.899,32,35,Tyt
46,46,17.796,107.822,30,35,Tyt
47,47,17.61,108.961,30,35,Tyt
48,48,17.525,109.489,27,35,Tyt
49,49,18.065,106.216,24,35,Tyt
50,50,17.986,106.683,22,35,Tyt
51,51,17.453,109.941,21,35,Tyt
52,52,17.905,107.166,22,35,Tyt
53,53,17.292,110.965,22,35,Tyt
54,54,18.113,105.935,22,35,Tyt
55,55,17.504,109.621,22,35,Tyt
56,56,17.366,110.492,21,35,Tyt
57,57,17.479,109.777,18,35,Tyt
58,58,17.137,111.968,18,35,Tyt
59,59,17.287,110.997,16,35,Tyt
60,60,17.266,111.132,15,35,Tyt
61,61,17.214,111.467,15,35,Tyt
62,62,17.325,110.753,15,35,Tyt
63,63,17.338,110.670,15,35,Tyt
64,64,17.392,110.327,15,35,Tyt
65,65,17.66,108.652,14,35,Tyt
66,66,17.476,109.796,14,35,Tyt
67,67,17.558,109.284,14,35,Tyt
68,68,17.441,110.017,14,35,Tyt
69,69,17.53,109.458,13,35,Tyt
70,70,17.53,109.458,13,35,Tyt
71,71,17.443,110.004,13,35,Tyt
72,72,17.814,107.713,13,35,Tyt
73,73,18.39,104.339,14,35,Tyt
74,74,17.82,107.677,15,35,Tyt
75,75,18.197,105.446,16,35,Tyt
76,76,18.075,106.158,16,35,Tyt
77,77,17.681,108.523,16,35,Tyt
78,78,18.182,105.533,17,35,Tyt
79,79,23.556,81.457,18,35,Tyt
80,80,38.436,49.922,17,35,Tyt
81,81,54.054,35.498,17,35,Tyt
82,82,52.848,36.308,17,35,Tyt
83,83,55.959,34.289,17,35,Tyt
84,84,49.268,38.946,17,35,Tyt
85,85,51.963,36.926,17,35,Tyt
86,86,50.495,38.000,17,35,Tyt
87,87,46.206,41.527,13,35,Tyt
88,88,71.43,26.863,16,35,Tyt
89,89,54.979,34.901,16,35,Tyt
90,90,52.118,36.816,16,35,Tyt
91,91,54.234,35.380,16,35,Tyt
92,92,55.492,34.578,16,35,Tyt
93,93,44.73,42.897,15,35,Tyt
94,94,17.363,110.511,15,35,Tyt
95,95,16.693,114.946,16,35,Tyt
96,96,16.974,113.043,16,35,Tyt
97,97,17.157,111.838,16,35,Tyt
98,98,17.64,108.776,19,35,Tyt
99,99,21.427,89.551,19,35,Tyt
100,100,42.059,45.622,19,35,Tyt
101,101,51.546,37.225,19,35,Tyt
102,102,54.802,35.013,19,35,Tyt
103,103,53.41,35.926,19,35,Tyt
104,104,55.06,34.849,19,35,Tyt
105,105,59.308,32.353,19,35,Tyt
106,106,42.537,45.109,18,35,Tyt
107,107,17.992,106.647,18,35,Tyt
108,108,17.295,110.945,18,35,Tyt
109,109,17.44,110.023,20,35,Tyt
110,110,17.209,111.500,20,35,Tyt
111,111,17.243,111.280,20,35,Tyt
112,112,17.24,111.299,21,35,Tyt
113,113,16.922,113.391,21,35,Tyt
114,114,17.124,112.053,21,35,Tyt
115,115,17.293,110.958,21,35,Tyt
116,116,17.053,112.520,21,35,Tyt
117,117,17.07,112.408,21,35,Tyt
118,118,17.55,109.333,21,35,Tyt
119,119,17.74,108.162,21,35,Tyt
120,120,17.84,107.556,23,35,Tyt
121,121,17.825,107.647,23,35,Tyt
122,122,17.57,109.209,23,35,Tyt
123,123,17.372,110.454,23,35,Tyt
124,124,19.554,98.128,23,35,Tyt
125,125,31.237,61.427,23,35,Tyt
126,126,40.808,47.020,23,35,Tyt
127,127,52.737,36.384,23,35,Tyt
128,128,49.772,38.552,23,35,Tyt
129,129,42.888,44.740,23,35,Tyt
130,130,45.667,42.017,18,35,Tyt
131,131,80.867,23.728,26,35,Tyt
132,132,50.939,37.669,25,35,Tyt
133,133,53.909,35.593,25,35,Tyt
134,134,53.261,36.026,25,35,Tyt
135,135,58.315,32.904,25,35,Tyt
136,136,37.73,50.856,25,35,Tyt
137,137,17.586,109.110,25,35,Tyt
138,138,16.843,113.923,25,35,Tyt
139,139,17.051,112.533,25,35,Tyt
140,140,17.041,112.599,25,35,Tyt
141,141,17.067,112.427,25,35,Tyt
142,142,17.189,111.630,25,35,Tyt
143,143,17.37,110.466,24,35,Tyt
144,144,17.155,111.851,23,35,Tyt
145,145,17.272,111.093,23,35,Tyt
146,146,46.178,41.552,23,35,Tyt
147,147,51.382,37.344,23,35,Tyt
148,148,53.945,35.570,23,35,Tyt
149,149,52.271,36.709,23,35,Tyt
150,150,54.147,35.437,23,35,Tyt
