,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,2,12,Frd
1,1,16.504,116.263,3,12,Frd
2,2,15.772,121.659,3,12,Frd
3,3,15.843,121.113,3,12,Frd
4,4,15.75,121.829,3,12,Frd
5,5,15.722,122.046,3,12,Frd
6,6,15.823,121.267,3,12,Frd
7,7,15.936,120.407,3,12,Frd
8,8,15.888,120.770,3,12,Frd
9,9,15.951,120.293,3,12,Frd
10,10,15.949,120.308,3,12,Frd
11,11,16.052,119.537,3,12,Frd
12,12,16.014,119.820,3,12,Frd
13,13,16.103,119.158,3,12,Frd
14,14,16.174,118.635,3,12,Frd
15,15,16.103,119.158,3,12,Frd
16,16,16.16,118.738,3,12,Frd
17,17,16.167,118.686,3,12,Frd
18,18,16.198,118.459,3,12,Frd
19,19,16.38,117.143,3,12,Frd
20,20,16.465,116.538,3,12,Frd
21,21,16.233,118.204,3,12,Frd
22,22,16.215,118.335,3,12,Frd
23,23,16.301,117.711,3,12,Frd
24,24,16.479,116.439,2,12,Frd
25,25,16.268,117.949,2,12,Frd
26,26,16.405,116.964,2,12,Frd
27,27,16.669,115.112,2,12,Frd
28,28,16.396,117.029,2,12,Frd
29,29,16.622,115.437,2,12,Frd
30,30,17.017,112.758,2,12,Frd
31,31,16.94,113.270,1,12,Frd
32,32,16.858,113.821,1,12,Frd
33,33,17.357,110.549,1,12,Frd
34,34,17.874,107.351,1,12,Frd
35,35,18.08,106.128,1,12,Frd
36,36,17.252,111.222,1,12,Frd
37,37,17.614,108.936,1,12,Frd
38,38,17.488,109.721,1,12,Frd
39,39,17.593,109.066,1,12,Frd
40,40,18.319,104.744,1,12,Frd
41,41,18.585,103.245,1,12,Frd
42,42,18.881,101.626,1,12,Frd
43,43,18.326,104.704,1,12,Frd
44,44,18.48,103.831,1,12,Frd
45,45,18.189,105.492,1,12,Frd
46,46,18.305,104.824,1,12,Frd
47,47,18.485,103.803,1,12,Frd
48,48,19.286,99.492,1,12,Frd
49,49,19.47,98.552,2,12,Frd
50,50,19.74,97.204,2,12,Frd
51,51,19.005,100.963,2,12,Frd
52,52,18.441,104.051,2,12,Frd
53,53,18.739,102.396,2,12,Frd
54,54,19.109,100.413,2,12,Frd
55,55,18.684,102.697,2,12,Frd
56,56,18.329,104.687,2,12,Frd
57,57,18.693,102.648,1,12,Frd
58,58,18.486,103.797,1,12,Frd
59,59,19.332,99.255,1,12,Frd
60,60,18.867,101.701,1,12,Frd
61,61,18.929,101.368,1,12,Frd
62,62,19.426,98.775,1,12,Frd
63,63,19.826,96.782,2,12,Frd
64,64,19.157,100.162,3,12,Frd
65,65,46.942,40.876,24,12,Frd
66,66,17.336,110.683,24,12,Frd
67,67,17.766,108.004,24,12,Frd
68,68,16.936,113.297,24,12,Frd
69,69,17.028,112.685,23,12,Frd
70,70,17.048,112.553,23,12,Frd
71,71,17.118,112.093,22,12,Frd
72,72,17.094,112.250,22,12,Frd
73,73,17.004,112.844,22,12,Frd
74,74,17.044,112.579,22,12,Frd
75,75,17.126,112.040,22,12,Frd
76,76,17.073,112.388,21,12,Frd
77,77,17.066,112.434,21,12,Frd
78,78,17.091,112.270,21,12,Frd
79,79,25.392,75.567,21,12,Frd
80,80,40.053,47.907,21,12,Frd
81,81,52.491,36.555,21,12,Frd
82,82,53.16,36.095,21,12,Frd
83,83,56.64,33.877,21,12,Frd
84,84,48.626,39.460,21,12,Frd
85,85,50.61,37.913,21,12,Frd
86,86,50.168,38.247,21,12,Frd
87,87,43.365,44.248,15,12,Frd
88,88,53.306,35.996,11,12,Frd
89,89,54.402,35.271,11,12,Frd
90,90,53.22,36.054,11,12,Frd
91,91,52.826,36.323,11,12,Frd
92,92,36.274,52.897,11,12,Frd
93,93,60.431,31.752,11,12,Frd
94,94,24.795,77.387,11,12,Frd
95,95,18.371,104.447,11,12,Frd
96,96,17.58,109.147,11,12,Frd
97,97,17.408,110.225,11,12,Frd
98,98,17.346,110.619,11,12,Frd
99,99,17.195,111.591,10,12,Frd
100,100,25.148,76.300,10,12,Frd
101,101,41.143,46.637,10,12,Frd
102,102,51.213,37.467,10,12,Frd
103,103,60.567,31.681,11,12,Frd
104,104,47.5,40.396,10,12,Frd
105,105,45.617,42.063,10,12,Frd
106,106,50.4,38.071,10,12,Frd
107,107,52.716,36.399,9,12,Frd
108,108,17.32,110.785,7,12,Frd
109,109,16.952,113.190,8,12,Frd
110,110,16.674,115.077,7,12,Frd
111,111,16.697,114.919,6,12,Frd
112,112,16.651,115.236,6,12,Frd
113,113,16.499,116.298,5,12,Frd
114,114,16.524,116.122,3,12,Frd
115,115,16.476,116.460,3,12,Frd
116,116,16.495,116.326,3,12,Frd
117,117,16.397,117.021,2,12,Frd
118,118,16.374,117.186,2,12,Frd
119,119,16.445,116.680,2,12,Frd
120,120,16.366,117.243,2,12,Frd
121,121,16.908,113.485,2,12,Frd
122,122,17.037,112.625,2,12,Frd
123,123,16.97,113.070,2,12,Frd
124,124,16.901,113.532,1,12,Frd
125,125,16.853,113.855,1,12,Frd
126,126,25.374,75.621,2,12,Frd
127,127,39.302,48.822,1,12,Frd
128,128,53.183,36.079,1,12,Frd
129,129,53.562,35.824,1,12,Frd
130,130,63.209,30.356,9,12,Frd
131,131,56.678,33.854,8,12,Frd
132,132,52.809,36.335,8,12,Frd
133,133,53.262,36.026,8,12,Frd
134,134,53.987,35.542,8,12,Frd
135,135,53.922,35.585,8,12,Frd
136,136,53.258,36.028,8,12,Frd
