,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,28,88,Chv
1,1,16.506,116.249,27,88,Chv
2,2,16.404,116.971,28,88,Chv
3,3,16.657,115.195,28,88,Chv
4,4,16.477,116.453,29,88,Chv
5,5,16.718,114.774,28,88,Chv
6,6,16.516,116.178,28,88,Chv
7,7,16.587,115.681,28,88,Chv
8,8,16.637,115.333,28,88,Chv
9,9,16.555,115.905,28,88,Chv
10,10,16.433,116.765,27,88,Chv
11,11,16.457,116.595,27,88,Chv
12,12,16.473,116.482,27,88,Chv
13,13,16.542,115.996,27,88,Chv
14,14,16.488,116.376,27,88,Chv
15,15,16.472,116.489,27,88,Chv
16,16,16.481,116.425,27,88,Chv
17,17,16.49,116.361,27,88,Chv
18,18,16.38,117.143,27,88,Chv
19,19,16.456,116.602,27,88,Chv
20,20,16.334,117.473,27,88,Chv
21,21,16.487,116.383,27,88,Chv
22,22,16.381,117.136,27,88,Chv
23,23,16.509,116.228,27,88,Chv
24,24,16.528,116.094,26,88,Chv
25,25,16.536,116.038,26,88,Chv
26,26,16.597,115.611,25,88,Chv
27,27,17.171,111.747,26,88,Chv
28,28,16.682,115.022,25,88,Chv
29,29,17.116,112.106,24,88,Chv
30,30,17.315,110.817,24,88,Chv
31,31,17.105,112.178,23,88,Chv
32,32,17.378,110.415,21,88,Chv
33,33,17.437,110.042,21,88,Chv
34,34,17.498,109.658,20,88,Chv
35,35,17.773,107.962,20,88,Chv
36,36,17.863,107.418,20,88,Chv
37,37,18.359,104.515,21,88,Chv
38,38,18.534,103.529,21,88,Chv
39,39,18.647,102.901,20,88,Chv
40,40,18.946,101.277,20,88,Chv
41,41,19.053,100.709,19,88,Chv
42,42,20.284,94.597,19,88,Chv
43,43,19.742,97.194,18,88,Chv
44,44,41.349,46.405,31,88,Chv
45,45,26.598,72.141,35,88,Chv
46,46,18.269,105.030,35,88,Chv
47,47,17.938,106.968,35,88,Chv
48,48,18.209,105.376,34,88,Chv
49,49,18.437,104.073,32,88,Chv
50,50,17.795,107.828,30,88,Chv
51,51,18.034,106.399,29,88,Chv
52,52,17.95,106.897,31,88,Chv
53,53,17.513,109.564,31,88,Chv
54,54,17.474,109.809,31,88,Chv
55,55,17.772,107.968,31,88,Chv
